Diffusion_name,Territoire,Type,Type d'intervenant.e,Permanents,Bénévoles,Nb de pros,Contact(s) lié(s),Nb de bénéficiaires,Date,Compte-rendu,Prochaines étapes,Retour ?,Fiches,Organisme (from Fiches),Photos,Personne à informer de ce CR
Sensi CMP Saint Ouen ,93,Rencontre structure,"Stagiaire,Salarié.e",Coline Rollet,,1.0,,,3/11/2021,"Sensi, flyers + on a noté des infos pour modifier leur fiche ",,,CMP - Saint Ouen,EPS Ville Evrard,,
Rendez-vous GRETA Yvelines ,78,Rendez-vous,Salarié.e,Charlotte Camard,,1.0,Corinne Mossino,0.0,3/11/2021,"GRETA YVELINES SIEGE ADMIN PLAISIR couvre tout le territoire

ANTENNE SAINT GERMAIN centre permanent accueil physique : remise à niveau aussi cours de français

lundi mardi jeudi centre permanent : 30 rue alexandre dumas saint-germain-en-laye 

9h12h30-13h30-17h ; FORMATION

8h30-16h30 accueil permanent HORAIRES GENERAUX

centre de bilan de compétences aussi reconversion, bilan de compétences, VAE, insertion, lien avec pôle emploi, OPCO … peut être aussi 
GRATUIT TOUT DEMANDEUR D’EMPLOI, RSA, Brsa, salariés … tout public, si c’est conventionné il faut une éligibilité (demandeur d’emploi)


parcours formation réalisé dans lycées et collèges ADULTES 

va du CAP au BTS : cuisinier, électricien, tertiaire, AS, charpentier, géomètre, froid, informatique


soutien scolaire (coaching orientation scolaire) —> parcours sup orientation 

intervention cité des métiers de Trappes

———————— — ——— 

—> entreprise école EEP (entreprise entrainement pédagogique) pour passer un titre pro dans le tertiaire (apprendre en faisant : secrétaire, agent d’accueil …) recréer le quotidien, entreprise virtuelle.


Achères : entrée et sortie permanente, dispositif conventionné région, demandeur d’emploi … bloc 
EPP internet regarder existe depuis 2015. 
aide financière possible","'- référencement dans Soliguide (après avoir passé les autres réunions avec les structures d'activity)
- attente sollicitation pour présentation dans l'EEP",,,,,
Appel présentation Soliguide FJT Mantes,78,Prospection,Salarié.e,Charlotte Camard,,1.0,Jarno Philippe,0.0,3/11/2021,- nous sollicite suite à la NL d'octobre : intéressé pour qu'on intervienne lors d'ateliers numériques auprès des jeunes qui vivent au foyer,- rendez-vous le 17 novembre puis intervention le 4 décembre en atelier,,Foyer de travailleurs migrants Mantes-la-Jolie,Coallia,,
"Rencontre Mission Locale Paris-Est ""Civic Dating""",75,Rencontre structure,"Salarié.e,Service civique","Jeanne Ovart,Solinum Paris",,1.0,,0.0,3/11/2021,"Rencontre par Jeanne et Alexine (VSC). CR par Alexine. 

Nous nous sommes présentées à la Mission Locale Paris-Est pour l'évènement ""Civic Dating"", afin d'essayer de recruter des services civiques. L'évènement avait été annulé par manque de mobilisation des jeunes mais personne ne nous avait prévenues. 

Nous avons néanmoins pu échanger longuement avec une responsable ""régionale"" de la Mission Locale de Paris. Nous lui avons présenté le Soliguide, elle a été très intéressée et va en parler aux différents responsables thématiques de la Mission Locale. Nous avons indiqué que nous proposons des formations à l'outil. 

Elle a pris en note nos missions de Service Civique et nos besoins, pour pouvoir éventuellement les proposer si elle rencontre des profils intéressants. 

Nous avons également présenté nos missions à une jeune fille qui était venue se renseigner, mais qui ne risque pas d'aboutir car elle souhaite surtout faire une formation d'agent d'escale. ",,,Mission Locale - Site Paris Est,La Mission Locale de Paris,,Jeanne Ovart
Sensibilisation PASS Juvisy-sur-Orge,91,Rendez-vous,Service civique,Emilie Donque,,1.0,Nadia PEROTTI,,3/11/2021,"Sensibilisation à la PASS de Juvisy : très intéressée par le Soliguide et notamment les compte pro qu'elle voit comme un avantage et surtout pour les bénéficiaires. 
On a laisser des flyers et des affiches pour la structure (affichage porte d'entrée de l'hôpital) et notamment pour des collègues ( PASS Longumeau et CSAPA d'Athis-Mons) et on à présenté en direct le Soliguide avec elle.",,Retour positif,PASS Juvisy-sur-Orge,Groupe Hospitalier Nord Essonne PASS,,Emilie Donque
Sensibilisation Pôle Prévention Association Ressources,91,Rendez-vous,Service civique,Essonne Solinum,,1.0,Agnès Zokène - Pôle Prévention Association Ressources,,3/11/2021,"très intéressée par le Soliguide et notamment les compte pro qu'elle voit comme un moyen pratique pour contacté directement les autres strucure et surtout pour les bénéficiaires. A
On a laisser des flyers et des affiches pour la structure et on à présenté en direct le Soliguide avec elle ",Envoyer un mail pour activé le compte pro,Retour positif,Pôle Prévention Association Ressources,Association Ressources,,
Rencontre Agora Secours Catholique,63,Rendez-vous,"Service civique,Salarié.e","Raphaëlle Vitaldurand,Puy-De-Dôme Cantal",,5.0,Marie-Rose Gremeau ,,4/11/2021,"Contexte : 
--> Nous avions déjà rencontré Aurélien Le Thuaut, salarié ainsi que Guy Xicluna, membre du bureau à plusieurs reprises. Ceux-ci ont participés au COPIL du 20.10.21

Un rendez-vous était prévu avec Marie-Rose Grémeau pour présenter le Soliguide. Celle-ci avait également convié d'autres bénévoles de l'association : trésorière, responsable de la communication, équipe d'animation. L'agora est portée par 70 bénévoles. Un temps de formation est à prévoir. 

Après avoir clarifier la nature de la collaboration avec le Secours Catholique, Ella et Lucas ont pu présenter le Soliguide et l'outil. 

De nombreuses questions été posées sur : 
--> la mise en place du projet et la co-construction comités de pilotage et comité opérationnel.
--> Nous avons pu répondre à leur interrogations sur la sécurité des données des utilisateurs
--> question liée au fonctionnement du compte professionnel.

La trésorière nous a également informée de l'existence d'un guide d'accueil et nous a donné un exemplaire. Celui-ci référence un large panel d'action sur Clermont-Ferrand. Il est porté par le collectif ""Toi l'Auvergnat"". 

Ccl de l'échange : 
Il a été convenu qu'un compte professionnel serait créé avec l'adresse générique de Agora. L'équipe bénévole se chargera directement de compléter et valider les informations de leur structure. 
Certaines défiances ont été observées de la part de certains bénévoles - un accompagnement à la prise en main de l'outil est nécessaire. 
","- Création du compte professionnel à partir de l'adresse de l'association
- Visite le 22 Novembre à l'Agora : adapté l'objet du rendez-vous en fonction de la validation ou non de la fiche en amont / demander si est nécessaire de représenter l'outil
--> temps de formation des bénévoles / permanence le jeudi 
--> prendre contact avec l'antenne FLE Secours Catholique 
--> prendre contact avec le collectif ""Toi l'Auvergnat""",,Agora Secours Catholique,Secours Catholique 63,,Raphaëlle Vitaldurand
Présentation CODIR T3,06,Réunion de service,Salarié.e,Perrine Poupaud,,11.0,"Anne Marecaille,CUNAT Dominique",,4/11/2021,"Présentation aux CODIR T3
- Dominique CUNAT la responsable du territoire est un excellent soutien qui aime beaucoup le projet
- Présentation de l'outil et explication des comptes pro
- Proposition de participer aux réunions d'équipes des différentes structures pour présenter Soliguide
- Demande : CMP et psychologue + il y a -t-il un partenariat prévu avec l'ARS et le projet de DAQ dispositif d'accompagnement coordonnés
- Questions : sur le fonctionnement des mise à jour; sur la diffusion et sur les données","- Se renseigner sur : il y a -t-il un partenariat prévu avec l'ARS et le projet de DAQ dispositif d'accompagnement coordonnés ? + envoyer les infos sur les recherches par catégorie
- Organiser des présentations aux équipes",,"Maison des Solidarités Départementale (MSD) - Nice Cessole,Maison des Solidarités Départementale (MSD) - Nice Magnan,Maison des Solidarités Départementale (MSD) - Nice Ouest,Maison des Solidarités Départementales (MSD) - les Vallées","Département des Alpes-Maritimes (06),Département des Alpes-Maritimes (06),Département des Alpes-Maritimes (06),Département des Alpes-Maritimes (06)",,
Rencontre avec l'antenne Amédée Alins du Secours Populaire,33,Rencontre structure,"Salarié.e,Service civique",Agathe Thomas,,2.0,Teuta Lachana,,4/11/2021,"Présentation de Soliguide auprès de Teuta Lachana, seule salariée de l'antenne Amédée Alins (arrivée en mars 2021). Elle connaissait Soliguide mais nous avons pu entrer dans le détail des fonctionnalités.
- vérification de la fiche de l'antenne : globalement infos exactes, des modifications marginales
- explication de toutes les fonctionnalités de Soliguide
- création d'un compte pro ""éditeur"" pour la gestion de l'antenne. Elle va échanger avec Vincent Bordas et elle me conseille de le rencontrer directement, c'est effectivement la personne ressource pour la gestion de l'orga Secours Pop. Il va partir en congé paternité en mars et sera remplacé en partie par Lola (alternance) que nous avons rencontrée.
- on a déjà renseigné les dates de fermeture pour Noël
-distribution d'une affiche et de flyers : très en demande. Elle passera peut-être en chercher d'autres à la ruche s'il lui en manque.
- je lui ai montré comment télécharger les exports : elle en est très satisfaite 

Elle nous a fait visiter l'antenne et nous a présenté son fonctionnement.","On lui a proposé de faire des formations aux bénévoles et des permanences pour les bénéficiaires : elle est très intéressée et revient vers nous.
Je dois envoyer un mail à Vincent Bordas pour le rencontrer.",Retour positif,Antenne Amédée Alins,Secours Populaire Français - Gironde,"IMG_20211104_110712.jpg (https://dl.airtable.com/.attachments/d5babefa36a19df678372fbf7d06eb20/f3845431/IMG_20211104_110712.jpg),IMG_20211104_110103.jpg (https://dl.airtable.com/.attachments/928f76ff1d702193b18796de16a96f28/e3c7a9cf/IMG_20211104_110103.jpg)",
Sensibilisation Femmes de paroles,67,Permanence,Salarié.e,Philippe Nieto,,2.0,,7.0,4/11/2021,"Permanence dans un ADJ avec un accueil exclusif pour les femmes.
7 femmes ont pu être sensibilisées et nous avons pu prendre le temps de bien les former dans son utilisation en les accompagnants dans leurs recherches (formation, cours de français, accompagnement psychologique, ateliers numérique)

Le lieu est propice à ce type d'intervention. Il serait intéressant de le reproduire.

1 personne ne savant ni lire ni écrire",,Retour positif,Accueil de jour - Femmes de paroles,Home Protestant,,
Sensi spontanée Accueil de jour Familles et femmes enceintes,75,Rencontre structure,"Stagiaire,Service civique","Solinum Paris,Essonne Solinum",,1.0,,0.0,4/11/2021,"Sensi par Alexine, Yoran, Danielle et Mary. CR par Alexine 

Sensi spontanée auprès de l'accueil de jour. Nous avons été reçu.e.s par une travailleuse sociale, à qui nous avons présenté notre outil. Elle nous a proposé de rencontrer sa responsable mais elle était trop occupé, elle nous a laissé leur contact. Nous avons laissé des flyers.",Contacter la responsable de l'accueil de jour et lui proposer une rencontre de présentation/formation à l'outil. ,,Accueil de Jour Familles et Femmes enceintes,Aurore | Accueil de Jour Familles et Femmes enceintes,,Jeanne Ovart
Sensi Spontanée la consult' jeunes consommateurs,75,Rencontre structure,"Stagiaire,Service civique","Solinum Paris,Essonne Solinum",,1.0,,0.0,4/11/2021,"Sensi par Alexine, Yoran, Danielle et Mary. CR par Alexine.

Présentation rapide afin de pouvoir passer la fiche en ligne. Notre interlocutrice avait l'air occupée et peu réceptive, elle nous a donné le contact de sa direction (""c'est avec eux qu'il faut voir""), en nous indiquant qu'ils ont tendance à mettre très longtemps à répondre.",Contacter la direction. ,,La consult' jeunes consommateurs,,,Jeanne Ovart
Sensi spontanée Centre Paris Anim' Annie Fratellini,75,Rencontre structure,"Stagiaire,Service civique","Solinum Paris,Essonne Solinum",,1.0,,0.0,4/11/2021,"Sensi par Alexine, Yoran, Danielle et Mary. CR par Alexine 

Sensi spontanée auprès d'une personne du personnel, qui nous a dit qu'il en parlerait à ses collègues. Nous avons laissé des flyers. ",,,Centre Paris Anim' Annie Fratellini,Association CLAJE,,
Sensi spontanée ESI Traversière,75,Rencontre structure,"Stagiaire,Service civique","Solinum Paris,Essonne Solinum",,1.0,,0.0,4/11/2021,"Sensi par Alexine, Yoran, Danielle et Mary. CR par Alexine. 

Présentation de l'outil à un membre du personnel de l'accueil de jour, très intéressé. Il va en parler à ses collègues. Nous avons laissé des flyers. ",,,ESI Traversière,Emmaüs | ESI Traversière,,Jeanne Ovart
Sensi spontanée APTM,75,Double-écoute 115,"Service civique,Stagiaire","Solinum Paris,Essonne Solinum",,2.0,,0.0,4/11/2021,"Sensi par Alexine, Yoran, Danielle et Mary. CR par Alexine.

Présentation de l'outil à l'agent d'accueil, qui l'a également présenté à l'un des consultants. Ils ont accepté nos flyers. ",,,APTM,APTM,,Jeanne Ovart
Sensi spontanée PIJ de la Maison des Ensembles,75,Rencontre structure,"Service civique,Stagiaire","Solinum Paris,Essonne Solinum",,1.0,,0.0,4/11/2021,"Sensi par Alexine, Yoran, Danielle et Mary. CR par Alexine. 

Présentation de l'outil à un membre de l'équipe à l'accueil. Nous avons laissé des flyers. ",,,Point Information Jeunesse de la Maison des Ensembles,Point Information Jeunesse Paris,,Jeanne Ovart
Sensibilisation Croix Rouge Etampes,91,Rendez-vous,Service civique,Essonne Solinum,,1.0,,,4/11/2021,"Sensibilisation effectuée par Mary et Danielle
Rencontre avec le président de l'unité locale
Manque de compréhension de l'intérêt du Soliguide
Dialogue assez compliqué (pas d'écoute de son côté)
Renvoi vers la Délégation départementale  ","Participer à une distribution si possible
Essayer de lui réexpliquer l'intérêt du Soliguide",Retour positif,Croix-Rouge Etampes,Croix-Rouge Essonne,,Emilie Donque
Sensi pro L'Eclaircie,94,Rencontre structure,Salarié.e,Suzanne Danvin,,2.0,,0.0,4/11/2021,"Rencontre de Mme Gouzou, Présidente de l'association Eclaircie et ambassadrice du réseau ANDES en IDF + rencontre rapide avec Mme Cucalon, qui travaille à la Maison des Solidarités qui héberge l'épicerie.

Côté Arcueil / épicerie :
- Echange sur les activités > MAJ la fiche avec les ateliers.
- Proposition de sensi de l'équipe > pas vraiment intéressés car connaissent déjà tout ce qui existe sur Arcueil.
- Me parle de l'asso Action Froid (vestiaire + maraudes sur Paris les vendredis et samedis). N'a pas leur contact > relancer CCAS d'Arcueil
- Flyers et affiches données

Côté ANDES :
- Potager de Marianne (pas une épicerie mais une SIAE). M'a donné le tél du responsable (Cédric Pechard - 06 33 52 01 28)
- Episol à Villejuif = Villejuifois solidaires ? A priori oui, car contact donné par Mme Gouzou est Mme Arendt > à vérifier
- Comptes pro toutes épiceries du réseau ? > me parle d'une réunion ANDES avec toutes les épiceries IDF le 06/12, à laquelle il serait intéressant qu'on soit invités. Contact donné : Christelle Perrin (Com) - 06 27 61 72 30","- MAJ fiche
- Ajout Action Froid
- Ajout Potager de Marianne
- Vérif Villejuifois solidaires
- Transmission contact IDF à Théo pour participation journée 06/12",,L'Éclaircie - Épicerie Solidaire,L'Eclaircie,,
Rencontre Société Saint-Vincent de Paul Rennes,35,Rencontre structure,Salarié.e,Chloé Lemaitre,,1.0,Manuel Remond ,,5/11/2021,"Rencontre avec Manuel Rémond de la Société Saint-Vincent de Paul. 

SSVP 35 est composée en 9 ""conférences"" dont 6 à Rennes. 
Il y a uniquement des bénévoles (environ 152 sur listing, et 150 bénévoles ""d'un jour"". 

Actions sur le territoire : 
- Lutte contre solitude 
- Maraude 
- Soutien scolaire 
- Colis alimentaire 
- Ligne d'écoute 
-Accueil / Café écoute sur rdv 
- Des sorties 
- Intervention dans des écoles 
- Aides financières. 
Ouvert à Rennes du mardi au jeudi, entre 14h30 et 16h30. 
Sur rdv avec le Covid; 

Membres du SolidaRen dont ils ont une réunion en novembre. 
J'ai dû expliquer plusieurs fois que nous étions différents d'eux sur la cartographie. 

- Cartographie : 
A remonté qu'ils manquaient d'information sur les actions de chacun. 
N'ont pas accès au guide SolidaRen (ne semblent pas l'avoir demandé) 
Orientent les personnes avec leurs connaissances personnelles. 
Format papier : bien mais la forme numérique semble plus pratique pour lui. ",Le recontacter lors de la mise en ligne des fiches ,,,,,
Visite du centre d'accueil et d'écoute Gisèle Halimi,33,Rencontre structure,"Salarié.e,Service civique",Agathe Thomas,,3.0,"Marina Razafimbelo,Leila Aidara,Naïma Charaï",,5/11/2021,"Présentation des nouveaux locaux (ouverts depuis juin) par Naïma Charaï, Marina Razamfimbelo et Laila Aidara. 
Présentation de Soliguide à Marina et Leila + vérification de la fiche de l'APAFED déjà en ligne et création de la fiche du centre Gisèle Halimi. Réticence concernant la localisation de la structure car cette dernière accueille des femmes victimes de violences conjugales. On a quand même fait le choix de mettre la ville mais pas plus de précisions.
2 comptes pros créés pour Marina (administratrice) et Laila (éditrice) : elles ont créé leurs comptes sur place et on déjà fait quelques modifs. Elles se sont vraiment saisi de cet outil.

Leila explique qu'elle se sert beaucoup de Soliguide, surtout depuis qu'elle est à l'APAFED (elle est arrivée en mars - avant au CAIO) et elle en parle aux personnes qui viennent dans la structure, avec une précision positive sur l'utilité d'avoir l'application sur téléphone.  

J'ai demandé à ce qu'elles diffusent l'info sur Soliguide en interne + proposé de venir présenter à une réunion de service. On a laissé une affiche et il faut repasser déposer des flyers (erreur avec les flyers MPLI). Quand leur site internet sera refait, elles envisagent de mettre un lien de redirection vers Soliguide.","Aller déposer des flyers
Eventuellement présenter Soliguide aux équipes",Retour positif,Centre d'accueil et d'écoute Gisèle Halimi,Association Pour l'Accueil des Femmes En Difficulté,"IMG_20211105_111821_resized_20211105_024400580[1].jpg (https://dl.airtable.com/.attachments/09c094d37bc4ea4fbe916ce5b8b7ceac/6a6df6ef/IMG_20211105_111821_resized_20211105_0244005801.jpg),IMG_20211105_111828_resized_20211105_024359385[1].jpg (https://dl.airtable.com/.attachments/796dc5ed81eb1a96d00fd31fa25ad961/868277da/IMG_20211105_111828_resized_20211105_0243593851.jpg),IMG_20211105_111832_resized_20211105_024358478[1].jpg (https://dl.airtable.com/.attachments/5ab8c3bec239003c0a1d9f4037f382d6/24a684a4/IMG_20211105_111832_resized_20211105_0243584781.jpg),IMG_20211105_111837_resized_20211105_024400284[1].jpg (https://dl.airtable.com/.attachments/a731df1a8440950e9825bdb81b4ff57c/35855e91/IMG_20211105_111837_resized_20211105_0244002841.jpg)",
Présentation OPCO EP,78,Rendez-vous,Salarié.e,Charlotte Camard,,1.0,Catherine BOMMART,0.0,5/11/2021,présentation soliguide et OPCO,"- attente des éléments pour référencement
-mise en avant de l'atelier réfugiés dans la NL",,,,,
Sensibilisation Secours Catholique Etampes,91,Rendez-vous,Service civique,Essonne Solinum,,1.0,,4.0,5/11/2021,"Rencontre avec une bénévole
Pas trop de temps à cause de la préparation d'une future distribution
Contact et Explication rapide du Soliguide à quelques bénéficiaires",Contacter responsable de la structure directement,,Secours Catholique Etampes,Secours Catholique de l'Essonne,,Emilie Donque
Sensibiliasation Maison de Justice et du Droit Etampes ,91,Rendez-vous,Service civique,Essonne Solinum,,1.0,Stéphane LINY,,5/11/2021,"Sensibilisation effectuer par Mary et Danielle 
Présentation du Soliguide et du compte pro 
Nous à présenté le MJD  puis on distribution de flyers et d'une affiche  
Le RDV c'est très bien passé, on à eu un bon contact. Il étais très intéresser par le Soliguide. Et nous à recommander les structures Sud Essonne et la maison France Service Étampes. 
Compte pro créé",,Retour positif,Maison de justice et du droit d'Etampes,Maison de Justice et du Droit Etampes,,Emilie Donque
Discussion avec Emilie Morillon,33,Rendez-vous,"Salarié.e,Service civique",Agathe Thomas,,1.0,Emilie Morillon,,8/11/2021,"Explication du logiciel Soliguide à Émilie Morillon qui cherche à inscrire sa future structure qui est en cours de création. Émilie Morillon présente ses idées pour sa future structure. Cette structure a pour but de loger des femmes accompagnées de leurs enfants dans la structure elle-même, cette dernière sera une maison. Elle permettra aussi de les aider à pouvoir trouver un logement après leurs hébergements dans le cas d'une situation plus stable. 
Maison d'accueil pour les futures maman en difficulté ""A petits pas"" (en principe sans abri) : du début de leur grossesse jusqu'aux 1000j de l'enfant. Pensé comme un tremplin vers l'autonomie. Emilie aimerait une maison rive droite mais pas évident à trouver. Elle espère avoir des pistes concrètes d'ici 9 mois. Elle est soutenue par la Ruche dans le cadre du projet des Audacieuses.","Émilie Morillon va parler de Soliguide à son mari, qui est directeur du centre social de Bagatelle",,,,,
Rencontre Astrée,44,Rencontre structure,Service civique,Solinum Loire-Atlantique,,1.0,,0.0,8/11/2021,"Sensi par Lexane et Léna
Nous avons rencontré Annie, bénévole chez Astrée.
Nous avons corrigé les infos de la fiche, nous lui avons expliqué le fonctionnement des comptes pro.
Nous lui avons présenté Soliguide, l'association. Elle nous a à son tour présenté son association.

Nous avons également trouvé de vieux flyers Soliguide!!",,,Astrée ,Astrée,,
Rencontre Médecin du Monde (mineurs),44,Rencontre structure,Service civique,Solinum Loire-Atlantique,,5.0,,0.0,8/11/2021,"Sensi par Lexane et Léna
Nous sommes arrivée au milieu d'une permanence. Nous avons rapidement expliqué à 5 bénévoles le fonctionnement de Soliguide. Nous leur avons laissé nos coordonnées ainsi que des flyers. Elles avaient l'air ravies.",RDV à fier pour discuter plus amplement.,Retour négatif,Action auprès des Mineurs Non Accompagnés,Médecins du monde,,
"Rencontre Galice, pole logement (coordinatrice SIAO)",06,Rendez-vous,Salarié.e,Perrine Poupaud,,1.0,Sabine Charondière,,8/11/2021,"Visio avec Sabine Charondière qui connait déjà bien le Soliguide est l'utilise ainsi que son équipe; très bon contact et soutien : 
- elle a envoyé les contacts pour le référencement de CCAS + du groupe SOS Solidatiré & asso Montjoye qui ont gagné un appel à projet DIAL pour créer des places pour femmes enceinte et en maternité
-  elle a un projet de référencement des logement d'insertion (base de données papiers construite) + hébergement d'urgence sur une app elle a mandaté IESTS. Elle souhaite voir la possibilité d'utiliser Soliguide comme plateforme avec l'accès reservé aux pro; IELTS en charge du référencement et Soliguide fournit la plateforme; elle va organiser prochainement. Possibilité de donner du financement à Soliguide (~4000€ pour ce projet). Il manquerait peut être la catégorie 'Logement d'insertion' (3 catégorie hebergement d'urgence, hebergement d'insertion (pourrait corespondre à 'hebergement long terme'), logement d'insertion) 
- elle souhaite un compte pro, admin pour ajouter ses collaborateurs
- elle relance Jérome Taverne pour le référencement des pole 'insertion emploi' ainsi que 'espace de vie citoyenne' 
- elle essaye de ce joindre au coop 3 du 17 nov + elle peut nous preter des salles quand on a besoin ","'- Création compte pro
- Rencontre Soliguide X Galice logement X IESTS (organisé par Sabine)",Retour positif,,,,
RDV Christine Besnier Les Eaux Vives,44,Rendez-vous,Salarié.e,Gian Barboni,,1.0,Christine Besnier,,8/11/2021,"Désirant entrer en contact avec les principales structures nantaises, j'ai notamment ciblé Les Eaux Vives. J'ai pu échanger avec Christine Besnier, cheffe de service au sein du Pôle Nantes Métropole de l'association. 
Nous nous sommes rencontrés au Village des 5Ponts où elle m'a présenté les différents services proposés sur les lieux. J'ai donc pu refaire une fiche plus propre dédiée à la structure.
Nous avons beaucoup échangé sur Soliguide et MPLI, deux projets qu'elle trouve très intéressants.
Les Eaux Vives seront représentées au COOP s'il y a des disponibilités.","- Réfléchir à un moment pour présenter Soliguide en réunion
- Envoyer un convention de partenariat MPLI",,Centre d'accueil Ôvives,Les Eaux Vives,,
Visite AMA Arles ,13,Rencontre structure,"Salarié.e,Acteur externe",Justine Demaire,,3.0," Rébiai GUIASSA,Clémence GRANON,Stéphane HERMET ",0.0,8/11/2021,"Rendez-vous à l'association Maison d'Accueil Arles avec Louise BLENY (BA13)  
-Visite des locaux en compagnie du directeur 
-Rencontre avec les différents salariés dont : coordinateur des épiceries sociales et assistante de gestion 
-Présentation de l'association : 
AMA compte 25-27 place d'hébergement en CHRS diffus + 7-8 places pour les femmes victimes de violence. AMA fait face à des difficultés d'approvisionnement en produits frais pour ses épiceries depuis qu'Intermarché à de nouveau choisir de vendre à prix cassés ses invendus à d'autres clients. Les deux épiceries sont sur orientation et alimentent près de 3000 personnes sur l'année. 
-Brève présentation de Soliguide et rappel de l'usage des comptes pros 
-Distribution de Flyers ","'-Mise en contact avec Renaud de VEZINS, délégué du préfet ""personne ressource"" et contact clé en ce qui concerne les associations (acquérir des listings et des contacts)
-Création de la fiche de la 2nd épicerie sociale et invitation compte professionnel à un autre membre de la structure 
-Récupérer les listings d'orientation de AMA pour étoffer la cartographie d'Arles et alentours ",,"Association Maison d'Accueil - AMA,EPI - Épicerie du Pays d'Arles","Association Maison d'Accueil - AMA,Association Maison d'Accueil - AMA","1636463236521.jpg (https://dl.airtable.com/.attachments/80b831f51afc5fbd1b215885c047b2c4/3a5d8464/1636463236521.jpg),1636463236536.jpg (https://dl.airtable.com/.attachments/a6803ef97998e1ae5bb1b9d3a0489b3c/c88c7f2e/1636463236536.jpg)",
Sensi pole Emploi Montreuil ,93,Rencontre structure,"Salarié.e,Stagiaire",Coline Rollet,,2.0,,,8/11/2021,On a pu parler au service entreprise et aussi à une dame en contact direct avec les demandeurs d'emploi. ,,,Pôle Emploi - Montreuil,Pôle Emploi Seine-Saint-Denis,,
Sensi Point d'accès aux droits de Montreuil (centre ville) ,93,Rencontre structure,"Salarié.e,Stagiaire",Coline Rollet,,1.0,,,8/11/2021,Flyers ,,,Point d'Accès aux Droits - Montreuil,PAD Montreuil,,
RDV Laurent Couraud SIAO,44,Rendez-vous,Salarié.e,Gian Barboni,,6.0,"Laurent Couraud,Chargé d'étude SIAO 44",0.0,8/11/2021,"J'ai rencontré Laurent Couraud ainsi que le chargé d'étude du SIAO avec qui nous avons échangé sur l'articulation entre le SIAO et Soliguide. Ils souhaitaient avoir une fiche sur Soliguide, avec plus de précisions sur l'hébergement d'urgence, et géreront la fiche. Ce sera bientôt plus facile de relier le SIAO et Soliguide car ils m'ont annoncé qu'un site internet serait bientôt développé.

Nous trouvons que ce serait judicieux de venir former les écoutants 115 à l'utilisation de Soliguide car ils sont souvent confrontés à des personnes dans le besoin qui pourraient avoir besoin d'être orientés.

Laurent Couraud viendra au COOP accompagné d'une ou deux personnes selon les disponibilités (écoutants 115, samu social, chargé de mission...).","- Trouver un créneau pour venir former les écoutants 115 à l'utilisation de Soliguide
- S'assurer que le SIAO prend bien en main son compte pro",,SIAO 44,SIAO 44,,
Participation au retour sur la Nuit de la Solidarité ,75,Présentation publique,Salarié.e,"Jeanne Ovart,Alexandra lefeivre",,1.0,,0.0,8/11/2021,"Suite à une invitation, nous nous y sommes rendues afin de rencontrer Léa Filoche et lui proposer les chiffres de notre dashboard.
","Mail à envoyer à Léa Filoche 
Faire des recherches sur Apur pour voir si on peut partager nos données",,,,,
Reconnect - PASH 91,91,Présentation publique,Acteur externe,,,10.0,,,8/11/2021,Beaucoup de professionnel.le.s connaissaient déjà le Soliguide et l’utilisent. Ils ont pu découvrir les fiches pratiques qu’ils ont trouvé intéressantes. Peu de structures recensées sur le 91. Ils ont aussi dit que ca serait pertinent de mettre les fiches d’orientations sur le Soliguide en fonction des structures.,,,,,"6771A8AD-D012-4501-BF5D-F30BDF4BBD89.jpeg (https://dl.airtable.com/.attachments/cbb8ea6402454e21141150ab5badaef0/16fe748a/6771A8AD-D012-4501-BF5D-F30BDF4BBD89.jpeg),DAD202A0-ED32-488C-B955-225C3CCD0D8A.jpeg (https://dl.airtable.com/.attachments/9f650d0e029c3b9ca6f9c03fd954c7bb/7629615c/DAD202A0-ED32-488C-B955-225C3CCD0D8A.jpeg),E79BC4A0-2471-4E78-8E0C-96E13A32829D.jpeg (https://dl.airtable.com/.attachments/6aa9d18b518a006f68a152bd1d301912/4cf214ea/E79BC4A0-2471-4E78-8E0C-96E13A32829D.jpeg),3AD45722-668C-49E4-91EC-87197AC09452.jpeg (https://dl.airtable.com/.attachments/14cba36975b209e3d1b55b68281a9c92/cc7050bf/3AD45722-668C-49E4-91EC-87197AC09452.jpeg)",
Sensibilisation SIJE Etampes,91,Rendez-vous,Service civique,Essonne Solinum,,4.0,Laetitia CASALI,0.0,8/11/2021,"Sensibilisation effectuée par Danielle et Mary
Présentation du Soliguide (création, but, compte pro ...)
Présentation de leurs domaines d'actions sur leurs 3 structures 
Mise en ligne des fiches des 3 structures 
Ajout du Soliguide dans leur newsletter du 08/11/2021 et sur leur site internet
Bon contact / Très intéressé 
Conseil de structures  à ajouter sur le Soliguide
Invitation compte pro envoyée",,,"SIJE Etampes,SIJE Etampes Guinette (antenne Zarafa),SIJE Etampes Saint Michel","SIJE Etampes,SIJE Etampes,SIJE Etampes",,Emilie Donque
