Nom,Etat,Territoire,Source,Document à joindre,Notes,Lien,Date de parution,Référent
SEUL - COMBO 77 Bus,"Données intégrées,Partenariat actif",77,,,,https://www.facebook.com/Combobus77/,,
SEUL - Médiathèque de Montereau,A ajouter,77,,,Ajouter la fiche de la médiathèque + mettre à jour les infos des lectures de contes pour enfants,https://www.ville-montereau77.fr/event/lheure-du-conte-6-octobre/?fbclid=IwAR3T0wTNjjv55CZBnipONucmhV2W5OHYyCa9iJkGzURw9Ty_Y_ckQQq6TZ8,2021-09-29,Noëlène Guérin
Paroisses de Paris - Etoile du Berger,"Données intégrées,Partenariat en cours",75,Paroisses de Paris,,,https://www.paris.catholique.fr/l-etoile-du-berger.html,,
Qui accueille qui ,Données intégrées,75,Secours Catholique ,,,https://www.quiaccueillequi.org/,,
,,,,,,,,
Guide Solidarité Rennes,En cours d'ajout,35,CCAS de Rennes / Ville de Rennes / SolidaRen,21_77914-ProCom-Guide-Solidaire-2021-francais-web.pdf (https://dl.airtable.com/.attachments/524dd6990ca20b5ae10a5d136ffa75e8/1bb77c9f/21_77914-ProCom-Guide-Solidaire-2021-francais-web.pdf),"Date de 2021
",https://www.solidaren.bzh/,,Chloé Lemaitre
Guide d'accessibilité pour tous ,,35,Pays de Fougères,Guide-accessibilité.pdf (https://dl.airtable.com/.attachments/1bbcfc9e7816643fa2deaa8807d48c02/11b70f9b/Guide-accessibilite.pdf),,,,Chloé Lemaitre
Guide pratique pour les migrants à Rennes,A ajouter,35,Rennes Métropole,guide-pratique-migrants-a-rennes-anglais.pdf (https://dl.airtable.com/.attachments/7af0a83fd7c0c45b600637d0c2babd86/ae813e01/guide-pratique-migrants-a-rennes-anglais.pdf),"Date de 2017
",,,Chloé Lemaitre
Guide structures pour les étrangers - Ille et Vilaine ,,35,Département IEV,GuideStructureAccueilEtrangers_2020.pdf (https://dl.airtable.com/.attachments/e69ae218e375b7bdbbd9689d5a490dbd/5c9ae1c9/GuideStructureAccueilEtrangers_2020.pdf),,,,Chloé Lemaitre
Ariane 76,En cours d'ajout,76,Conseil Départemental Seine-Maritime,,Plateforme avec un accès pro pour les structures. Version pro en cours d'évolution. Possibilité d'y réfléchir ensemble avec le CD76. ,https://www.seinemaritime.fr/mon-quotidien/insertion-emploi/ariane-76-mon-guide-insertion-et-emploi.html,,Timothée André
Guide de l'urgence sociale,En cours d'ajout,76,Ville de Rouen,,Une version imprimée de ce guide est disponible dans toutes les associations locales.,https://rouen.fr/urgencesociale,,Timothée André
Guide papier pour l'accès aux droits des jeunes ,En cours d'ajout,76,CAF de Seine-Maritime,,"Guide ""pingouin""",,,Timothée André
Sharepoint intranet municipal de la ville du Havre,En cours d'ajout,76,Ville du Havre,,Géré par un agent du CCAS pour mobiliser le CCAS et les partenaires renseignés pour l'actualisation des données ,https://www.lehavre.fr/pratique/action-sociale-0,,Timothée André
RESEAU - Groupe SOS : Groupe d'assos ,A ajouter,77,"Conseillée par AIPI / en font partie pour pouvoir aider les personnes à trouver des formations, être orienter vers des entreprises...",,"AUDRY Laurent

Directeur - AEMO 77
Directeur Départemental - Seine et Marne / Essonne
Directeur - AEMO 91

64 rue du Général Leclerc - 77120 - Coulommiers
E-mail : laurent.audry@groupe-sos.org
Tel : 0164206511",,,Noëlène Guérin
GROUPE - Liste à référencer COPIL 1,A ajouter,77,COPIL 1,,,https://airtable.com/appsLJJwfdueN9xqD/tbl4TlB0hec1uTyzI/viwkHknPtEZx3yoar/recTRRmWog1UBqz5a?blocks=hide,,Noëlène Guérin
"GROUPE - Lien avec CDRIML (Illétrisme et maîtrise de la langue
",A ajouter,77,,,,http://www.cdri-idf.ac-versailles.fr/spip.php?mot24,,Noëlène Guérin
Guide des lieux pour inclusion numérique,A ajouter,35,Département IEV,guide_utilisation_carto_inclusion.pdf (https://dl.airtable.com/.attachments/6751d07389f216961ea4ab9dfa3ea4bb/a26309f9/guide_utilisation_carto_inclusion.pdf),,https://www.ille-et-vilaine.fr/lieuxnumeriques,,Chloé Lemaitre
Data Ille et Vilaine - Santé et Social,,35,Département IEV ,,,https://data.ille-et-vilaine.fr/group/sante-social,,Chloé Lemaitre
Guide pour les personnes agées,,35,Département IEV,guide_etablissement_personnes_agees_2021.pdf (https://dl.airtable.com/.attachments/bac3cc03c3a92184661e137bf3d2e0fc/108fc3b3/guide_etablissement_personnes_agees_2021.pdf),"Date de 2021
",,,Chloé Lemaitre
Page d'accueil SIAO,,35,SIAO 35,,News + le infos importantes,http://www.siao35.fr/,,Chloé Lemaitre
Cartographie des fontaines Rennes,Données intégrées,35,SIAO 35,carte-bornes-fontaines-rennes-2021.pdf (https://dl.airtable.com/.attachments/bfd61f414ecf4766834337e0110b2b5b/d6116f7b/carte-bornes-fontaines-rennes-2021.pdf),n° 15 non intégré (non présent sur appli Entourage),,,Chloé Lemaitre
Planning des maraudes sur Rennes ,A ajouter,35,SIAO 35,20210111-planning-maraudes-rennes.pdf (https://dl.airtable.com/.attachments/ad78d19b66fa5011d251dbd5caafe967/1730b6c2/20210111-planning-maraudes-rennes.pdf),,,,Chloé Lemaitre
Guide hébergement Famille et enfants ,,35,FAS,guide-hebergement-famille-fas-2021.pdf (https://dl.airtable.com/.attachments/9a70314a51b79f6c66e03033f70e88a5/0ca39736/guide-hebergement-famille-fas-2021.pdf),Date de 2021,,,Chloé Lemaitre
"Annuaire organismes Action sociale
",,35,Sanitaire et social (ARS?) ,,,https://www.sanitaire-social.com/annuaire/organismes-action-sociale/ille-et-vilaine-35,,Chloé Lemaitre
Annuaire Solidarité Ille-et-Vilaine ,En cours d'ajout,35,Département IEV,,,https://annuaire.ille-et-vilaine.fr/,,Chloé Lemaitre
Sauvegarde de l'Enfant à l'Adulte 35 (SEA35) ,,35,,,"Futur Organisme? 
",http://www.sea35.org/annuaire,,Chloé Lemaitre
Solidarités Lille,A ajouter,59,Leur site internet ,,"644 fiches en ligne, projet du CCAS de Lille",https://solidarites.lille.fr/2-qui-fait-quoi.htm,,Gabrielle Hiroux
"SEUL - Le panier du coeur à Emerainville
",A ajouter,77,,,,,,Noëlène Guérin
Le Carrefour des solidarités - Dunkerque ,A ajouter,59,Internet,,"Dans l'onglet ""URGENCE"" du site, catégories : où manger, aide alimentaire associatif utpas ccas, se loger et se meubler, se laver, s'habiller, laver son linge, se soigner, aides financières, violences ",https://www.carrefourdessolidarites-dk.fr/,,Gabrielle Hiroux
Cartographie des épiceries Solidaire - Rennes Métropole,,35,,,,https://metropole.rennes.fr/epiceries-sociales-et-distribution-alimentaire,,Chloé Lemaitre
SEUL - Du pain et des Roses,A ajouter,77,,,COS CRPF qui en a parlé (Karine PODER),,,Noëlène Guérin
SEUL - Médiathèque de Moissy Cramayel,A ajouter,77,,,CCAS de Moissy qui me conseille,,,Noëlène Guérin
GROUPE - Serives Jeunesse / Emploi / Logement de la Mairie de Moissy,A ajouter,77,,,CCAS de Moissy qui me conseille,,,Noëlène Guérin
SEUL - PRE Combs la Ville,A ajouter,77,,,CCAS de Moissy qui me conseille,,,Noëlène Guérin
SEUL - ML de Moissy / MDEF de Sénart,A ajouter,77,,,"Yannick DIQUELOU 0164134018 - Directeur Adjoint Maison de l'emploi et de la formation de Sénart

CCAS de Moissy qui me conseille",,,Noëlène Guérin
SEUL - ATF Gaïa à Moissy,A ajouter,77,,,Rue de la Motte : contacter Mme Montaudoin / travailleurs handicapés et recyclage ordi...,,,Noëlène Guérin
SEUL - Maison des Droits à Moissy,A ajouter,77,,,,,,Noëlène Guérin
Guide Local d'Accès aux Droits (GLAD),En cours d'ajout,13,Fraternité de la Belle de Mai,2106_GLAD.pdf (https://dl.airtable.com/.attachments/2ad7220f23cc43e3b5bd9af56a3a0d6d/585c8fc7/2106_GLAD.pdf),2-3 arr.,,2021-06-30,Justine Demaire
Site AMIDS (Saint-Malo),,35,,,"Organisme à ajouter + un ensemble de fiches sur Saint Malo
",https://www.amids.org/#services,,Chloé Lemaitre
Cartographie des actions pour sans-abris - Vitré,,35,SIAO 35,210901-cartographie-vitre.pdf (https://dl.airtable.com/.attachments/619d98529d5a6d04658940a265664cfc/ac052bd6/210901-cartographie-vitre.pdf),,,,Chloé Lemaitre
Territoire Saint Brieuc,,35,SIAO 22,le_p_tit_gus_2016-1.pdf (https://dl.airtable.com/.attachments/09ed3fbd8fd9ce934a41b4b29bfa8edd/eb52e9d2/le_p_tit_gus_2016-1.pdf),"Ajouter au dép 22 quand dispo
",,,
Territoire Lannion,,35,SIAO 22,carte_urgence_sociale_v11_25-06-19-1.pdf (https://dl.airtable.com/.attachments/6d070595981d54c5c41112f303191db2/390e8913/carte_urgence_sociale_v11_25-06-19-1.pdf),"Ajouter au dép 22 quand dispo
",,,
"Territoire Loudéac
",,35,SIAO 22,guide-numeros-utiles-112018.pdf (https://dl.airtable.com/.attachments/0cb9afe2aa79c58b46ffb7dd81979f60/bd11c40d/guide-numeros-utiles-112018.pdf),"Ajouter au dép 22 quand dispo
",,,
Guide des associations Saint Brieuc,,35,Ville de Saint Brieuc,Guide des assos.pdf (https://dl.airtable.com/.attachments/38a4a72e8a00c2e325a1bc3990e4ccb7/a8aeeac0/Guidedesassos.pdf),,,,
MJC Orsay,A ajouter,91,,,Permanence juridique pour les jeunes,https://www.mjctati.fr/presentation/,,
GROUPE - Liste des PAEJ du 77,A ajouter,77,,,,https://www.cartosantejeunes.org/?CartoSante&facette=listeListeDepartements=77|listeListeTypeDeStructure=PAEJ,,Noëlène Guérin
Réseau Santé Solidarité Lille Métropole RSSLM,A ajouter,59,Internet ,,"Coordonne les prises en charge médico-psycho-sociales et détermine les parcours de soins des personnes en situation de grande précarité.

Toutes les pathologies sont prises en charge au sein du réseau et notamment les conduites addictives, la traumatologie due à la violence, les différentes affections (dermatologie, ORL, maladies infectieuses…) qui résultent des conditions de vie, les pathologies psychiatriques, le suivi médical des femmes enceintes en situation d’urgence sociale.",https://www.sante-solidarite.org/reseau-qui-sommes-nous.html,,Gabrielle Hiroux
Le Carillon - La Cloche,A ajouter,59,Leur site internet ,,"La spécificité du réseau du Carillon, c'est que ce sont majoritairement des services qui sont proposés par les commerçants qui s'inscrivent dans une démarche solidaire. ",https://lacloche.org/utiliser-les-services-et-les-produits-en-attente,,Gabrielle Hiroux
"GROUPE - Liste des prescripteurs sur la Plateforme de l'inclusion
",A ajouter,77,,,Voir les prescripteurs : mine d'info pour le référencement des structures de l'emploi,https://inclusion.beta.gouv.fr/,,Noëlène Guérin
Cartographie lutte violence faites aux femmes 06,En cours d'ajout,06,,20210929 Cartographie des acteurs lutte contre les violences faites aux femmes - DP06.pdf (https://dl.airtable.com/.attachments/5f0866a4837d3e87de9c7f38c8a4f626/5cf19fd0/20210929Cartographiedesacteursluttecontrelesviolencesfaitesauxfemmes-DP06.pdf),,,,
Droits sociaux des jeunes - le guide,En cours d'ajout,95,Information jeunesse Val d'Oise,,Guide papier,,,
Guide des associations de Taverny,En cours d'ajout,95,Ville de Taverny,,Guide papier,,2021-10-01,
Annuaire francilien des référent.e.s égalité,A ajouter,95,Centre hubertine auclert,,,https://www.centre-hubertine-auclert.fr/sites/default/files/fichiers/cha-annuaire-referent-es-2021-def_3.pdf,,
Cartographie toilettes publiques Rennes ,,35,,IMPLANTATION_TOILETTES_PUBLIQUES.pdf (https://dl.airtable.com/.attachments/1aa67139ac54ee118d167fd5ce261ed6/77b7d513/IMPLANTATION_TOILETTES_PUBLIQUES.pdf),,,,Chloé Lemaitre
Liste pour les femmes victimes de violences ,A ajouter,59,Internet ,carte_postale_recto_5_lille_2019_recto-verso.pdf (https://dl.airtable.com/.attachments/d2b9be8f175444c66ab562e04ea98535/d51de785/carte_postale_recto_5_lille_2019_recto-verso.pdf),,https://www.nord.gouv.fr/content/download/12646/76101/file/carte_postale_recto_5_lille_2019_recto-verso.pdf,2021-03-01,Gabrielle Hiroux
Carte interactive de la Ville de Roubaix,A ajouter,59,Internet ,,"Une carte interactive avec de nombreux filtres est dispo sur le site de la Ville de Roubaix. Cependant, aucun signe de cette carte à moins de fouiller le site, ils ont une très mauvaise communication sur ce dispositif. Pour trouver la carte, il faut aller en haut à gauche sur l'icône ronde, et choisir l'option carte. 
Il y a aussi un répertoire des associations de la Ville, mais la carte est plus impressionnante.",https://carto.ville-roubaix.fr/portal/apps/webappviewer/index.html?id=0352e182047b47be8ccbbaa410115649,,Gabrielle Hiroux
"Annuaire des Structures d’Insertion par l’Activité
Economique du Val d’Oise",En cours d'ajout,95,Voie95,,,http://voie95.org/wp-content/uploads/2019/01/Annuaire-VOIE-95-2019-V3.pdf,2019-10-09,Raphaëlle Iniguez
Associations et CCAS partenaires de la Banque Alimentaire du Nord ,A ajouter,59,Internet,,,https://ba59.banquealimentaire.org/nos-associations-3507,,Gabrielle Hiroux
SEUL - La Claye Digitale,A ajouter,77,,,,https://www.laclayedigitale.fr/,,Noëlène Guérin
SEUL -  (Vesti boutique Croix Rouge) Boutique sociale et solidaire - Meaux,A ajouter,77,,,14-16 rue des Teinturiers à Meaux,,,Noëlène Guérin
Alphabétisation - Medecin du monde,"En cours d'ajout,Partenariat en cours",06,Monique Piaget,20210929 Cours de francais - Listing Medecin du Monde - avec retours la Semeuse.pdf (https://dl.airtable.com/.attachments/9378d0fc8628b430cbef38f50c3ba613/1ffa02a1/20210929Coursdefrancais-ListingMedecinduMonde-avecretourslaSemeuse.pdf),Nice,,2021-09-29,
Acteurs de l'aide au victime 06,En cours d'ajout,06,,Acteurs AV Alpes-Maritimes mai 2019.pdf (https://dl.airtable.com/.attachments/853bf114f032626dadcd965a70c6a511/f08487e1/ActeursAVAlpes-Maritimesmai2019.pdf),Certains trucs ne peuvent pas être carto à voir pour les itnégrer en réservé aux pros ou dans l'annuaire pro,,2019-05-01,
Aide alimentaire ISN,"Partenariat actif,Données intégrées",06,Marie-Louise Fénart,20210629 Répertoire assoc aides alimentaires du 03.06.20 - ISN.xlsx (https://dl.airtable.com/.attachments/f870d685e2a626ce41ca2958d8614f59/8c9dcaa2/20210629Rpertoireassocaidesalimentairesdu03.06.20-ISN.xlsx),Tout intégré à l'été 2021,,2020-06-01,
"Repertoire jeune ISN
",En cours d'ajout,06,Marie-Louise Fénart,202107 Répertoire jeunes - ISN - janvier 2020.docx (https://dl.airtable.com/.attachments/63fe696cdca8ccfab88349e611c6f729/c717df6d/202107Rpertoirejeunes-ISN-janvier2020.docx),Tout a été intégré sauf les trucs d'actes,,2020-01-01,
Réseau info jeune PACA,"Partenariat actif,En cours d'ajout",06,,BIJ PACA.pdf (https://dl.airtable.com/.attachments/2d3676ebc1b3dfdcf886800df0c087fe/79b5df2c/BIJPACA.pdf),Transmis à Justine ,,2021-01-01,
Annuaire PASS PACA,En cours d'ajout,06,,Annuaire-PASS-PACA-COVID-19042020.pdf (https://dl.airtable.com/.attachments/35e65c99d8b44951ec3c63077fb3bc6e/a8e9449a/Annuaire-PASS-PACA-COVID-19042020.pdf),Pas à jour... toutes les personnes ont été contactées (téléphone et mail)... difficile d'accès,,2020-04-19,
Consultation pour le psychotraumatisme ,En cours d'ajout,06,,Annuaire consultations psychotraumatisme Nice 201201.docx (https://dl.airtable.com/.attachments/ea943f4ec16a8b89c5ce17d1940cfe57/baef94f5/AnnuaireconsultationspsychotraumatismeNice201201.docx),,,2012-01-01,
Plaquette accès aux droit - CDAD 06,"Données intégrées,Partenariat actif",06,,Accès aux droit - CDAD 06.pdf (https://dl.airtable.com/.attachments/3916192060dee46d7e0ac2d9eb0058cc/56195261/Accsauxdroit-CDAD06.pdf),Intégré ... @Perrine Poupaud attention à bien mettre à jour régulièrement en allant voir sur leur site ,https://www.cdad06.fr/avocats/,,
"Guide vie de quartier l'Ariane
",Données intégrées,06,,guide-vie_quartier-ariane_BD.pdf (https://dl.airtable.com/.attachments/b8abd3bc9ebcef91ef88e50250a21894/e833fc54/guide-vie_quartier-ariane_BD.pdf),@Perrine Poupaud Ce qui rentre dans nos scope ont été ajoutés ... sauf les piscines ou biblio par exemple ,,,
Guide vide de quartier les Moulins,Données intégrées,06,,guide-vie-quartier moulins.pdf (https://dl.airtable.com/.attachments/20f7fba5c3b1a44ae454a4c51b63c2b1/f3d1210f/guide-vie-quartiermoulins.pdf),@Perrine Poupaud Pareil mais un mini focus a été fait sur ce quartier pour avoir des sousous de la pol ville ,,,
Liste partenaire PH,A ajouter,06,,liste partenaires PH.xlsx (https://dl.airtable.com/.attachments/6e6f82289a13adde9377943e67141ace/b8e2ab19/listepartenairesPH.xlsx),@Perrine Poupaud On a vu ca avec Marie... quid de si ca rentre dans nos scopes ,,,
Liste partenaires CAF,"Partenariat refusé,En cours d'ajout",06,Thierry Mangivilano,,@Perrine Poupaud Béatriz avait commencait à y travailler ... la plupart sont des accueils sociaux dont un focus a été fait dessus... ,https://www.caf.fr/partenaires et https://www.caf.fr/allocataires/caf-des-alpes-maritimes/points-d-accueil,,
Livret des asso Puget Thenier,A ajouter,06,,livret_asso_Sept_2020 puget thénier.pdf (https://dl.airtable.com/.attachments/4dae5ab578f273969edb7abf27e3ff93/7beb7e53/livret_asso_Sept_2020pugetthnier.pdf),Pas à jour ,,,
Urgence Sociale CAPG 2017,En cours d'ajout,06,,Urgence Social 2017 - CAPG.pdf (https://dl.airtable.com/.attachments/8c2f366ae504d269393b47bd2826aeb3/04184122/UrgenceSocial2017-CAPG.pdf),,,,
Listing Epicerie Solidaire,A ajouter,06,ANDES,,,https://www.engagement-solidaire.fr/asso/706/,,
Watizat,Partenariat en cours,75,,,,https://watizat.org/,,
Peps,Partenariat en cours,75,,,,,,
Centre d'Innovations Sociales Clermont Auvergne - CISCA,A ajouter,63,,,Regarder ce qu'il faut et si une mise prise de contact serait intéressant,,,Raphaëlle Vitaldurand
cyberbus : http://agendabus.cybercantal.fr/pages/animation,A ajouter,15,,,,,2021-10-29,Raphaëlle Vitaldurand
Centres sociaux CANTAL : https://www.cantal.fr/centres-sociaux/,A ajouter,15,,,,https://www.cantal.fr/centres-sociaux/,,Raphaëlle Vitaldurand
Guide 115 2020,"En cours d'ajout,Partenariat en cours",33,SIAO,Guide 115 Juillet 2020.pdf (https://dl.airtable.com/.attachments/6ae7ca50a488f84a2f841eab8a3136a3/2af3acc0/Guide115Juillet2020.pdf),Envoyé en septembre 2020 par Arnaud Dugay des maraudes de la Croix-Rouge ,,2020-07-23,Agathe Thomas
Guide Orienter à Bordeaux ,"Données intégrées,Partenariat bloqué",33,Diaconat,,"Guide historique (depuis 1987) fait par des bénévoles du Diaconat 
 ",http://orienter33.fr/,,Agathe Thomas
Guide de l'égalité ,En cours d'ajout,33,Ville de Bordeaux,20150422_guide_egalite.pdf (https://dl.airtable.com/.attachments/5ab1a8c2dfe9dc1e71609d4cc96a2448/a89180f1/20150422_guide_egalite.pdf),Guide trouvé en 2021 sur le site de la ville de Bordeaux,https://www.bordeaux.fr/p8693/magazines-et-guides-edites-par-la-ville,2015-04-22,Agathe Thomas
Héberjeunes,A ajouter,91,,,A voir si fiche ou sans adresse ,https://www.heberjeunes.fr/,,Essonne Solinum
PERMANENCES - Esprit qui clic,A ajouter,77,,,Seine-et-Marne et d'autres dpt,https://www.espritquiclic.com/,,Noëlène Guérin
Répertoire des acteurs / ressources Bastide,Données intégrées,33,PACTE Bordeaux / L'atelier santé ville Bastide,CONTACTS BASTIDE.xlsx (https://dl.airtable.com/.attachments/a737d1807bb84fef0c1c0b9dc1c3fa7c/425e051a/CONTACTSBASTIDE.xlsx),,,2019-09-23,
Guide 115 2016,Données intégrées,33,SIAO,20161220 - Guide 115 Bordeaux-CUB.pdf (https://dl.airtable.com/.attachments/cf94f52dd650a2dc7ae6a21bae5db1c5/b6e79426/20161220-Guide115Bordeaux-CUB.pdf),,,2016-12-20,
Annuaire des centres de distribution des Restos du Coeur,Données intégrées,33,Restos du Coeur,ANNUAIRES DES CENTRES DE DISTRIBUTION RESTOS DU COEUR.pdf (https://dl.airtable.com/.attachments/6cd28720b9a0e0c0cd6f9704cc4336f5/7d965bba/ANNUAIRESDESCENTRESDEDISTRIBUTIONRESTOSDUCOEUR.pdf),,,2019-05-10,
Comité de Liaison - Accueil - Réadaptation de Tout Exclus,Données intégrées,33,Multi-acteurs mais organisé par le Secours Populaire,Comité de Liaison Accueil Réadaptation de Tout Exclu14 02 2019  (2).odt (https://dl.airtable.com/.attachments/2ec7dc731d312913087cf21b3b210459/7cdfe101/ComitdeLiaisonAccueilRadaptationdeToutExclu140220192.odt),,,2019-02-14,
Les services de la solidarité du Département se réorganisent,Données intégrées,33,CD Gironde,liste_des_mdsi_ Gironde.pdf (https://dl.airtable.com/.attachments/2cc870c5620891c3c5620aa6175bd772/92486efc/liste_des_mdsi_Gironde.pdf),,,2014-05-02,
Objectif jeunes - urgence sociale,Données intégrées,33,CIJA,Guide Gironde 2013.pdf (https://dl.airtable.com/.attachments/04cb3dce1fb9db1ce2b240f7691e9edc/1918f917/GuideGironde2013.pdf),,,2013-01-01,
Répartition géographique des équipes - Secours Catholique,Données intégrées,33,Secours Catholique,20180328 - Répartit° géo équipes locales.pdf (https://dl.airtable.com/.attachments/4cada93a1b45d963ef6c0f88839ba698/2c6a73ba/20180328-Rpartitgoquipeslocales.pdf),,,2018-03-28,
Liste des CCAS de la Gironde,Données intégrées,33,,liste_des_ccas.pdf (https://dl.airtable.com/.attachments/0293ec2f86937b6e8ccd609b7e373bab/d52f4204/liste_des_ccas.pdf),,,2019-04-01,
Organisation des Consultations sur la Gironde du C.S.A.P.A. ,Données intégrées,33,ANPAA 33,ANPAA 33_Organisation.pdf (https://dl.airtable.com/.attachments/b68400de5cfc002c64cc887f72ed393d/76561520/ANPAA33_Organisation.pdf),,,2019-04-01,
Antennes et comités - Secours Populaire,Données intégrées,33,Secours Populaire,SecoursPopulaire-Antennes+comites.docx (https://dl.airtable.com/.attachments/89b70b44acbe8377beca82f4713974ce/788c4cd3/SecoursPopulaire-Antennescomites.docx),,,2019-04-01,
Recensement des lieux d'accueil diurnes,Données intégrées,33,"Bordeaux Métropole (Service santé et qualité de vie   Direction énergie, écologie et développement durable   Direction générale haute qualité de vie )",Recensement lieux d'accueil diurnes.xlsx (https://dl.airtable.com/.attachments/d5d801f71caf1a94b45eedb6be218004/cbb0547f/Recensementlieuxdaccueildiurnes.xlsx),,,2021-06-08,
Guide ressources - Prévention du risque suicidaire Bordeaux Métropole,Données intégrées,33,Association Rénovation,Guide ressource santé metale _BORDEAUX MEìTROPOLE_août 2020 (003) (1).pdf (https://dl.airtable.com/.attachments/ec61f9a58c7c333aaf32588db7bc967b/d46bf982/Guideressourcesantmetale_BORDEAUXMETROPOLE_aot20200031.pdf),Rencontre sollicitée par Alice Laborde (Coordinatrice du Conseil Local de Santé Mentale),,2020-08-01,
Cartographie santé mentale Retab,En cours d'ajout,33,Retab,,Rencontre sollicitée par Alice Laborde (Coordinatrice du Conseil Local de Santé Mentale),https://www.retab.fr/rechercheV2.php?cp=33,,
Padlet santé mentale,En cours d'ajout,33,Ville de Bordeaux,,Rencontre sollicitée par Alice Laborde (Coordinatrice du Conseil Local de Santé Mentale),https://fr.padlet.com/plherm/n9oic6lmd6ulmnq0,,
Sije Etampes,Données intégrées,91,,,A contacter ,https://lesijetampes.blogspot.com/,,
Détail des lieux d'actions pour l'inclusion numérique - Ville de Rennes ,En cours d'ajout,35,"Rennes, Ville et Métropole",,Ajout débuté le 03/11/2021 --> avec les ESC. Toutes les information sont à vérifier.,https://metropole.rennes.fr/laccompagnement-au-numerique-dans-les-espaces-publics,,Chloé Lemaitre
Croix rouge,A ajouter,63,,,,https://www.croix-rouge.fr/Annuaire/UNITE-LOCALE-DE-CLERMONT-FERRAND10,,
Data Ville de Rennes - espace inclusion numérique département,,35,Rennes Métropole,,,"https://data.rennesmetropole.fr/explore/dataset/localisation-des-espaces-de-mediation-numeriques/map/?disjunctive.ville&disjunctive.statut&disjunctive.cdag&basemap=jawg.light&location=14,48.12411,-1.67743",,Chloé Lemaitre
Listing des MSAP,A ajouter,06,,Screenshot_20211104_103233_com.facebook.katana.jpg (https://dl.airtable.com/.attachments/c3d84c7c6bc58a66abd98ea7e12f2b74/5f5314f1/Screenshot_20211104_103233_com.facebook.katana.jpg),,https://demarchesadministratives.fr/msap/alpes-maritimes-06,,
"Listing MSD Cessol
","A ajouter,Partenariat en cours",06,José DESVARIEUX,MEMOX 2020.docx (https://dl.airtable.com/.attachments/1c0ba49b4349fc5a768493e931ba139c/fca792cf/MEMOX2020.docx),,,2021-06-01,
Annuaire consultations psychotraumatisme Nice,A ajouter,06,Dr GUIVARCH Pol-Henri -> Pol-Henri.GUIVARCH@ars.sante.fr,Annuaire consultations psychotraumatisme Nice 201201.docx (https://dl.airtable.com/.attachments/5aef7fd817d7890eac73f244cb529a34/7d5abda1/AnnuaireconsultationspsychotraumatismeNice201201.docx),,,,
ASSOCIATIONS ET PARTENAIRES DANS LA VALLEE DE LA ROYA ,A ajouter,06,GENIE Fabrice,ASSOCIATIONS ET PARTENAIRES VALLEE DE LA ROYA.docx (https://dl.airtable.com/.attachments/66936cd9f63f0db34e2bb9a75e967a8f/980bdb1c/ASSOCIATIONSETPARTENAIRESVALLEEDELAROYA.docx),,,,
"Guide ""Premières Réponses"" - Saint-Malo",,35,Association le Goéland,"20211104_164242.jpg (https://dl.airtable.com/.attachments/90a651cdd6de76e4f371be94c6d326eb/c934bf16/20211104_164242.jpg),20211104_164207.jpg (https://dl.airtable.com/.attachments/dc9c66bd6885ee4959672a1b089d55a2/56b5bec8/20211104_164207.jpg),20211104_164211.jpg (https://dl.airtable.com/.attachments/8444b8b7972ad56de24ad4121641d9d1/f207aa64/20211104_164211.jpg),20211104_164219.jpg (https://dl.airtable.com/.attachments/ca2cfbbb930b15ec7a61d1d72d248a3a/f7bec25a/20211104_164219.jpg),20211104_164238.jpg (https://dl.airtable.com/.attachments/4d33326f9eaae2de289278267b861c5d/587a4047/20211104_164238.jpg),20211104_164156.jpg (https://dl.airtable.com/.attachments/f160835d6beb91a43c0a691f912145f0/a1b7d945/20211104_164156.jpg)",,http://www.asso-legoeland.com/,,
Bonjour Strasbourg,Partenariat en cours,67,EMS ,,Cartographie des cours de FLE (pas encore exhaustif),https://www.bonjour.strasbourg.eu/,,
Codelico guide 2021,"Partenariat bloqué,Données intégrées",67,CeA,,,https://drive.google.com/drive/folders/1UhTuE45H50KBrwvwNA9Uy02ffpxJMD4a,,
Points d'eau ,Données intégrées,59,Ville de Lille,,,https://geo.lille.fr/adws/app/702de220-3386-11e9-b003-a107876e3087/index.html,,Gabrielle Hiroux
Maison France Service Etampes ,A ajouter,91,,,"idée de la MJD Etampes 
Sous Préfecture ",https://lannuaire.service-public.fr/ile-de-france/essonne/msap-91223-01,,
"Action social, le registre français du social et médico-social",A ajouter,63,,,,https://annuaire.action-sociale.org/?p=caarud-du-puy-de-dome-630005478&details=emploi,,
Montpellier Solidarité,En cours d'ajout,34,,montpellier-solidarite.pdf (https://dl.airtable.com/.attachments/7dc351c0570bf3dee9c4cc9c66708dc6/3abfb8c8/montpellier-solidarite.pdf),,,2021-08-27,Servane Baron
Epicerie sociale Hérault,,34,,Liste-des-associations-alimentaires-et-solidaires.pdf (https://dl.airtable.com/.attachments/c1349ae35d4e530ee5b2ed853f7e1aa7/525e602c/Liste-des-associations-alimentaires-et-solidaires.pdf),,,,Servane Baron
Etat des lieux aide alimentaire Montpellier Métropole,En cours d'ajout,34,SIAO34,Etat-des-lieux-sur-lAide-Alimentaire-à-Montpellier-SIAO34-Juillet-2019.pdf (https://dl.airtable.com/.attachments/360c3582eb0c829e15ccae236f17f812/b5b2f067/Etat-des-lieux-sur-lAide-Alimentaire--Montpellier-SIAO34-Juillet-2019.pdf),,,2019-08-17,Servane Baron
