Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
,Blanche ADOU-NIANGORAN,,,Equipe Soliguide,,Pouvoir faire des recherches à la suite sans message de bug.,Plate-forme Web V2,18/2/2021,,,Majeur,Capture d’écran 2021-02-18 120857.png (https://dl.airtable.com/.attachments/89234845fe02b2d67bafacdc35f6096e/ea1e3f73/Capturedcran2021-02-18120857.png),,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Bénéficiaires,Réfugiés du projet Levier,"Premier point : améliorer la recherche par synonymes pour l'expérience utilisateur
Deuxième point : créer une vraie matrice de synonymes remplissable par l'équipe soliguide (voire des bénéficiaires eux mêmes suite à un questionnaire partagé ?) à intégrer dynamiquement/automatiquement en fonction des mises en prod",Plate-forme Web V2,17/2/2021,101-Recherche par synonyme > admin,,Majeur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,Association,Noémie (DA),"Il faudrait que lorsque j'ajoute un utilisateur à la liste des partenaires, il n'y ait rien marqué s'il n'y a pas de catégories enregistrées",Plate-forme Web V2,17/2/2021,,,Négligeable,Capture d’écran de 2021-02-17 11-25-51.png (https://dl.airtable.com/.attachments/c213f057fad27f760e5e2ecede68e9b3/e98b4fa4/Capturedcrande2021-02-1711-25-51.png),,Je suis sous Firefox sous ubuntu 20.04 LTS. Je suis allé sur le manage-partners. J'ai cliqué sur l'un des partenaires pour accéder à son profil. J'ai cliqué sur mettre à jour puis ait rechargé la page manage-partners. Catégorie : Mauvais ID de catégories était apparu,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Lucie Quesado,,,Equipe Soliguide,,Que ces catégories réapparaissent en haut de la fiche pour l'accueil global mais également dans les services pour les accueils spécifiques.,Plate-forme Web V2,17/2/2021,279-FRONT publics spécifiques,,Majeur,,,"En éditant de nouvelles fiches. 
J'utilise Google Chrome mais ce problème est présent sur tous les navigateurs.",Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,"Retrouver les filtres ""langue.s parlée.s dans la structure"" avec l'ensemble des filtres ",Plate-forme Web V2,17/2/2021,"""293-Filtre : ajouter """"langue parlé""""""",,Mineur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Equipe Soliguide,,"J'aimerai que la case correspondante ""Compte créé?"" soit bien cochée lorsqu'une organisation créé son compte sur Soliguide",Multiple,16/2/2021,292-Script AT : case compte crée,,Mineur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,J'aimerais que le public s'affiche correctement,Plate-forme Web V2,15/2/2021,279-FRONT publics spécifiques,,Majeur,"Capture.PNG (https://dl.airtable.com/.attachments/5917d4cc1e711a2e002918fc4c20e7ab/269daf82/Capture.PNG),Capture1.PNG (https://dl.airtable.com/.attachments/6d5c20bf82800d6bf6c10e25236a70aa/fb832958/Capture1.PNG),image.png (https://dl.airtable.com/.attachments/709165bbe4771467bdf11123ba6152aa/f8b284f0/image.png),image (1).png (https://dl.airtable.com/.attachments/86893dfa1b1099fac7a2266268684ad3/810d4f6a/image1.png)",,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Charlotte Camard,,,Equipe Soliguide,,J'aurais besoin que la fiche apparaisse. ,Plate-forme Web V2,15/2/2021,307-BUG - Fiche non trouvable dans la recherche,,Majeur,Capture d’écran 2021-02-15 à 15.34.25.png (https://dl.airtable.com/.attachments/05af90414503f81ba1e6babf22c6dd16/d2bd8279/Capturedecran2021-02-15a15.34.25.png),,"Je suis sur macbook (safari), j'ai également essayé sur Chrome, et fais essayer à d'autres membres de l'équipe avec d'autres fiches : il y a des variations mais globalement ça ne fonctionne pas correctement lorsqu'on recherche par service proposé. ",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,résultats de recherche,Plate-forme Web V2,12/2/2021,,,Majeur,image.png (https://dl.airtable.com/.attachments/9c5635229ab7b0fb04480a35f04cdbbb/3bcad066/image.png),,"sur soliguide, j'ai cherché bordeaux, puis montreuil, puis accueil de jour à montreuil",Traité,,,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,,,Equipe Soliguide,,"J'aimerais pouvoir créer une fiche en cliquant sur ""+ nouvelle structure"" depuis une fiche en brouillon.",Plate-forme Web V2,12/2/2021,267-#BUG le menu doit être en premier plan,,Mineur,bug.png (https://dl.airtable.com/.attachments/30477fb31d38bbc8d09da478a9a21e62/0e0ac07c/bug.png),,Je suis sur chrome depuis un pc. Je fais beaucoup d'aller-retour pour créer des fiches Soliguide donc ma navigation est aléatoire :/,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,,,Equipe Soliguide,,ça peut être bien de préciser sur la page de connexion que c'est uniquement pour les professionnels et qu'on a pas besoin de se connecter pour faire une recherche ?,Multiple,12/2/2021,274-FRONT : Page de connexion à un compte pro,,Négligeable,connexion.png (https://dl.airtable.com/.attachments/7d71e64fcf01515daa19e3dd467667ab/f4b2b967/connexion.png),,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,Qu'il y ait les résultats des fiches affichés.,Plate-forme Web V2,12/2/2021,,,Critique,Capture d’écran 2021-02-12 à 16.32.20.png (https://dl.airtable.com/.attachments/b9b8aadf3ed1eba51916019ac49675b2/e826ae74/Capturedecran2021-02-12a16.32.20.png),,"soliguide.fr > recherche > aucun résultat
navigateur safari
macOS Catalina",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Equipe Soliguide,,"J'aimerai que les accueils de jour les plus proches de Drancy, même s'ils ne sont pas dans Drancy, apparaissent.",Plate-forme Web V2,11/2/2021,"""275-#BUG Fiche """"non-migré""""""",,Critique,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Alexandra lefeivre,,,Equipe Soliguide,,"J'aimerais voir les filtres de recherche (public accueilli, âge ...)",Plate-forme Web V2,10/2/2021,,,Mineur,,,"Google Chrome, ordinateur",Traité,,,,,,,4/11/2021 12:07pm,,
,Blanche ADOU-NIANGORAN,,,Equipe Soliguide,,"Je souhaiterai que lorsque j'écris le nom d'une structure ou que je tape un mot ceux-ci soient pris en compte afin d'obtenir dans les résultats les éléments demandés.

Par exemple si je tape le mot ""PAD"" je veux voir apparaître les ""PAD"" du territoire recherchés, de même pour si je tape ""Croix-Rouge"", je veux voir apparaître les ""Croix-Rouge"".",Plate-forme Web V2,10/2/2021,273-Recherche textuelle,,Critique,,,"Je tape le nom d'une structure, ou du mot qui désigne l'entité ou un mot clé, je sélectionne la commune concernée.

",Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,Que le bouton réapparaisse tout en conservant le fait qu'il n'y ait pas le bouton page précédente sur la première page de résultats.,Plate-forme Web V2,10/2/2021,251-Vérifier la pagination des résultats de recherche,,Majeur,"page1bas.jpeg (https://dl.airtable.com/.attachments/a400be46a0e8067ac59317fd8da0273f/d147712c/page1bas.jpeg),page1.jpeg (https://dl.airtable.com/.attachments/77b514b103077edfe8418076017f2dbf/4ccee979/page1.jpeg)",,"Juste faire une recherche de plus de 20 résultats (i.e. quasi toutes les recherches pour le moment)

système d'exploitation : windows 10
navigateur : firefox 85.0.1",Traité,,,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,,,Equipe Soliguide,,J'aimerais pouvoir avoir la confirmation que l'invitation s'envoie.,Plate-forme Web V2,10/2/2021,265-#BUG notification de prise en compte d'envoi d'invitation,,Critique,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,Que la recherche textuelle fonctionne,Plate-forme Web V2,9/2/2021,,,Critique,image.png (https://dl.airtable.com/.attachments/7ce69d25bec99df76c077348a6ac31fb/b04d55c2/image.png),,"Sur navigateur chrome avec cache et cookies vidé, j'ai essayé de chercher ""pmi"" à proximité de paris. Les résultats ne correspondent pas à la recherche. En réitérant la recherche avec d'autres termes, le bug subsiste. ",Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Autre,,Que le bug soit résolvé,Outils (pour collaborateurs),9/2/2021,,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Charlotte Camard,,,Equipe Soliguide,,Que l'on puisse cliquer et avoir la suite des infos ,Plate-forme Web V2,9/2/2021,268-Design des services proposés,,Mineur,Capture d’écran 2021-02-09 à 16.19.44.png (https://dl.airtable.com/.attachments/d1104af30772c073b81b0004053fdc58/de18db74/Capturedecran2021-02-09a16.19.44.png),,"J'ai passé la fiche en ligne et je suis allée voir le résultat, c'est comme ça que j'ai constaté le bug.
Je suis sur mac et j'utilise safari, et j'ai fait essayer à une personne utilisant microsoft edge, le problème est le même. ",Traité,,Bug,5,,,,4/11/2021 12:07pm,,
,Lorène Kiény,,,Equipe Soliguide,,?? Est-ce volontaire d'avoir supprimé cette information ?,Plate-forme Web V2,9/2/2021,"""261-Sur la vue d'une fiche, la date de mise à jour ne s'affiche plus en dessous de la map""",,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Lorène Kiény,,,,,Ajouter un drapeau français pour revenir à la langue souhaité,,8/2/2021,250-#BUG - Le drapeau français n'apparait pas quand on change de langue,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Lorène Kiény,,,,,"Sur la première vue de la page de résultat, supprimer le 'page précédente' car il n'en existe pas. 
Si il y a deux page de résultat, uniquement mettre 'page suivante' sur la première vue des résultats puis uniquement 'page précédente' sur le seconde vue.",Plate-forme Web V2,8/2/2021,251-Vérifier la pagination des résultats de recherche,,Mineur,,Chargement infini quand je suis sur la première page des résultats de recherche et que je clique sur le bouton 'précédent',,Traité,,,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,,,Pouvoir me géolocaliser,Plate-forme Web V2,8/2/2021,252-#BUG - Géolocalisation non prise en compte,,Majeur,Screenshot_20210208-084647_Chrome.jpg (https://dl.airtable.com/.attachments/6533826ba1c6a740941d4d5c3eec3b53/2be94efd/Screenshot_20210208-084647_Chrome.jpg),,,Traité,,,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,,,que la recherche fonctionne :) *sans avoir à vider son cache/cookies,Plate-forme Web V2,8/2/2021,,,Majeur,image_2021-02-08_085206.png (https://dl.airtable.com/.attachments/72087aaa3b0d900931e3ea840dce99f1/7c371cf0/image_2021-02-08_085206.png),,,Traité,,,,,,,4/11/2021 12:07pm,,
,Malo Richard,,,,,Il ne devrait pas ,Plate-forme Web V2,8/2/2021,253-Un utilisateur déjà inscrit peut à nouveau recevoir un email d'invitation pour créer un nouveau compte,,Critique,,On ne doit pas pouvoir envoyer d'invitation par mail à un User déjà existant,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,Que le tchat apparaisse systématiquement.,Plate-forme Web V2,8/2/2021,272-#BUG Affichage bulle crisp,,Majeur,,,Avec une utilisatrice au téléphone (donc je ne sais pas quel navigateur elle utilisait) + sur mon ordinateur navigateur safari,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,"Que le bouton ""mettre à jour"" des services fonctionne tout le temps.",Plate-forme Web V2,8/2/2021,,,Mineur,Capture d’écran 2021-02-08 à 14.03.19.png (https://dl.airtable.com/.attachments/66056ca422da43de6a49303962717dbc/9a9594ab/Capturedecran2021-02-08a14.03.19.png),,"""Editer fiche"" > section services ""Mettre à jour"" (ré-essayer de mettre à jour les services plusieurs fois). 
Navigateur safari",Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,Que l'affichage soit normal,Plate-forme Web V2,8/2/2021,,,Majeur,"Capture d’écran 2021-02-08 à 14.40.29.png (https://dl.airtable.com/.attachments/701d4ac16489d08e2c4cab48d3436b0e/f2fd57a4/Capturedecran2021-02-08a14.40.29.png),Capture d’écran 2021-02-08 à 14.41.05.png (https://dl.airtable.com/.attachments/98e8bfcde0a7b3b413d47f3ec0902729/d360f678/Capturedecran2021-02-08a14.41.05.png)",,"Cliquer sur le lien soliguide dans la bdd > https://soliguide.fr/fiche/centre-social-et-culturel-la-fosse-aux-fraises-bagnolet-2976 > voir apparaitre le bordereau bleu immense > faire défiler jusqu'en bas de la page web > voir l'écran sans rien s'afficher 
- Navigateur Safari, macOS Catalina",Traité,,,,,,,4/11/2021 12:07pm,,
,Aimeric Prod'homme,,,Equipe Soliguide,,"Je souhaiterais que les descriptions des services soient affichées en intégralité. Ou, à défaut, que le ""en savoir plus"" soit un bouton cliquable permettant de faire apparaitre la suite de la description. ",Plate-forme Web V2,8/2/2021,268-Design des services proposés,,Majeur,Capture d’écran 2021-02-08 à 15.00.35.png (https://dl.airtable.com/.attachments/bd1657fd99853db5071a2eef4ce2ed7c/f9f5f728/Capturedecran2021-02-08a15.00.35.png),,"macOS Big Sur version 11.1, Chrome Version 88.0.4324.96, 13,3 pouces (2560 × 1600). 
Même bug sur Firefox",Traité,,Bug,5,,,,4/11/2021 12:07pm,,
,Aimeric Prod'homme,,,Equipe Soliguide,,"Dans l'idéal : avoir un outil de mise en forme dans les descriptions des infos temporaires (comme c'est le cas dans la description générale des fiches).

Au pire : que les balises fonctionnent et ne soient pas visibles + que le saut de ligne soit possible.

COEUR SUR VOUS LA TEAM DEV <3",Plate-forme Web V2,8/2/2021,,,Mineur,Capture d’écran 2021-02-08 à 15.13.48.png (https://dl.airtable.com/.attachments/98d9bdc32a88e6313ea80f7bf85fab15/32f82f43/Capturedecran2021-02-08a15.13.48.png),,Visible sur n'importe quelle fiche à condition que des balises aient été mises en information temporaire. ,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,Qu'on voit les services fermés temporairement,Plate-forme Web V2,8/2/2021,268-Design des services proposés,,Majeur,"Capture d’écran 2021-02-08 à 15.10.26.png (https://dl.airtable.com/.attachments/e0489ed9919c7a7073b059be76e51cdb/1297d717/Capturedecran2021-02-08a15.10.26.png),Capture d’écran 2021-02-08 à 15.16.37.png (https://dl.airtable.com/.attachments/705e72a617267aba110a9f0113d29734/649afa7e/Capturedecran2021-02-08a15.16.37.png)",,"en regardant la fiche soliguide après avoir modifier les information
navigateur safari, macOS Catalina",Traité,,Bug,5,,,,4/11/2021 12:07pm,,
,Alice De Ronne,,,Equipe Soliguide,,Que l'invitation s'envoie.,Plate-forme Web V2,8/2/2021,265-#BUG notification de prise en compte d'envoi d'invitation,,Critique,bug invitation.png (https://dl.airtable.com/.attachments/508cc23b82166ccfc3c490360ddc3744/ce16d8f1/buginvitation.png),,"J'ai dû modifier mon mot de passe oublié, tout s'est bien passé. Je suis sur le Soliguide manage pour définir mes organismes, je passe de recherche en recherche. Je vais sur la page de l'organisme AIDES et là lorsque je clique sur ""renvoyer une invitation"" j'ai l'encadré rouge qui se présente.",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,Que pro.soliguide.fr renvoie directement vers la bonne page de soliguide sans indiquer que la connexion n'est pas sécurisée,Plate-forme Web V2,8/2/2021,258-Redirection auto pro.soliguide.fr vers soliguide.fr,,Majeur,image.png (https://dl.airtable.com/.attachments/3719aac71397c0a102c733c1f78d9604/2822abe4/image.png),,,Traité,,,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,,Solinum,Il faudrait que la première page soit la page 1 puis 2...,Plate-forme Web V2,5/2/2021,251-Vérifier la pagination des résultats de recherche,,Négligeable,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,,,Que la fiche apparaisse dans la liste des résultats de recherche lorsque je recherche une des catégories qui y est liée,Plate-forme Web V1,4/2/2021,"""275-#BUG Fiche """"non-migré"""""",307-BUG - Fiche non trouvable dans la recherche",,Majeur,,J'ai ajouté une nouvelle fiche sur Soliguide mais elle n'apparaît pas dans la recherche alors qu'elle est en ligne,"Chrome 87 sur max OS
Chrome sur smartphone",Traité,Amélioration de la recherche,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,,,,SIAO 95,"Est-ce qu'il serait possible de donner la faculté à des gros organismes et délégations (type SIAO, DHRIL, FAS, ...) de gérer d'autres organismes. Par exemple, le SIAO 95 est coordinateur de la veille sociale dans le Val d'Oise, l'idée serait de lui ouvrir un compte professionnel qui lui permettrait de gérer d'autres organismes + fiches de la veille sociale (croix rouge, secours catholique, secours populaire, ...).",Plate-forme Web V2,2/2/2021,541-Connexion à plusieurs orga,,Majeur,,,,Traité,👯‍♂️ Gestion des utilisateurs,Idée,,,,,4/11/2021 12:07pm,,
,,,,,,,,25/1/2021,246-Bug d'affichage / encodage,,,image.png (https://dl.airtable.com/.attachments/b47a4da08ee47b01d322113ea8917e61/58555bda/image.png),"Depuis la page d'accueil soliguide, j'ai tapé ""espace santé jeune"" dans les ""Hauts-de-Seine"" (https://soliguide.fr/search/hauts-de-seine?name=espace%20sant%C3%A9%20jeune) . L'aperçu de la description du premier résultat apparait mal encodé (https://soliguide.fr/fiche/epaces-sante-jeunes-colombes-7322) tandis que le deuxième résultat apparait correctement (https://soliguide.fr/fiche/courbevoie-ecoute-jeunes-3462)",,Traité,,,,,,,4/11/2021 12:07pm,,
,Alexandra lefeivre,,,,,,,25/1/2021,248-Accès au tchat / crisp,,,,,"windows 10 pro, Google chrome

Je me connecte sur Soliguide.fr et j'arrive sur la page accueil. J'ai une connexion internet wifi et navigateur Chrome. Le tchat ne se déclenche pas. Je fais une recherche et toujours rien. Je passe en navigation privée toujours pas de tchat.  J'ai effacé tous mes cookies Soliguide et cela ne fonctionne pas.",Traité,,,,,,,4/11/2021 12:07pm,,
,Lisa Froment,,,,,,,20/1/2021,"""275-#BUG Fiche """"non-migré"""""",307-BUG - Fiche non trouvable dans la recherche",,,,,"Depuis mon navigateur firefox, je me suis rendue sur la page d'accueil du Soliguide. J'ai cherché le service épicerie sociale à Sèvres, je n'ai pas trouvé le relais sévrien. ",Traité,Amélioration de la recherche,Bug,,,,,4/11/2021 12:07pm,,
,,,,,,,,18/1/2021,"""278-#BUG affiche """"saturé"""" sur une structure""",,,"Capture d’écran 2021-01-18 à 10.44.04.png (https://dl.airtable.com/.attachments/cda2f69aeb333f4f8616ab36204fd874/39a54e64/Capturedcran2021-01-1810.44.04.png),Capture d’écran 2021-01-18 à 10.43.59.png (https://dl.airtable.com/.attachments/3d1a1ab9d462145f2fb3aea8faec25a5/e53e526b/Capturedcran2021-01-1810.43.59.png)",,"Depuis la fiche sur Airtable, je me suis rendu sur la fiche Soliguide, j'ai regardé les services qui suis allé sur éditer la fiches, puis éditer les services et descendu jusqu'à fréquentation du service. ",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,,,,Association,https://airtable.com/tblkDLjt1DY0Ko0EP/viwPeRuFcGS0dKT59/recl8oip3yttmGY5n,,Plate-forme Web V1,15/1/2021,244-Ajout saturation : 'normal',,Mineur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,,,,,,,,15/1/2021,248-Accès au tchat / crisp,,,download.png (https://dl.airtable.com/.attachments/62826512c95986d713e2d1f38ff45f3d/c17d39a1/download.png),,"Windows, Firefox",Traité,,,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Equipe Soliguide,,,Plate-forme Web V2,3/11/2020,,,Mineur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Blanche ADOU-NIANGORAN,Henriette BrosLemoine,henriette.bros.lemoine@gmail.com,Association, Secours Catholique des Hauts de Seine et du collectif Citoyens Fraternels 92,,Base de donnée,15/10/2020,,,Mineur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,,Céline Meyer,,Professionnel de l'action sociale,CAARUD Nova Dova,,App,1/10/2020,,,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,Céline Meyer,,Professionnel de l'action sociale,CAARUD Nova Dona ,,Multiple,1/10/2020,,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,Céline Meyer,,Professionnel de l'action sociale,CAARUD Nova Dona ,,Multiple,1/10/2020,,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,https://airtable.com/tbl3LjfDGU54NfY8r/viwUkWcqH5jSYjgZ7/recU5k9OCgjnPr5wq,,Multiple,28/9/2020,,,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,https://airtable.com/tbl3LjfDGU54NfY8r/viwUkWcqH5jSYjgZ7/recf0WUzgX48Au5qz,,Plate-forme Web V1,25/9/2020,,,Mineur,,,,Traité,,,,,,,4/11/2021 12:05pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,21/9/2020,,,Mineur,,,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,,Plate-forme Web V2,17/9/2020,,,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,Simon Roussey,simon.roussey@solidarites-actives.com,Partenaire opérationnel,Agence des Nouvelles Solidarités Actives,,App,14/9/2020,,Ajouter des loaders au clic ,Mineur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,2/9/2020,,,Majeur,"ru-1.PNG (https://dl.airtable.com/.attachments/5210d6559b593e285c3b2ddde2efc567/08e3937a/ru-1.PNG),ru-2.PNG (https://dl.airtable.com/.attachments/ff7fc28de1859ada1e1fe79ee80d6a57/06dae3ed/ru-2.PNG)",,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,https://airtable.com/tbl9yt4Ptvi2BkuIQ/viwTl0EO3gxu2Mriu/recn2GGIYVuMzxUMn,,Plate-forme Web V1,21/8/2020,"""147-ETQ pro, je peux indiquer les conditions d'accès d'une structures - ETAPE 2""",,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,https://airtable.com/tblUZf3UN3ACLNtjJ/viwIjJwDShPdcxPFk/rec1HAHufJLV0d8mb,,Plate-forme Web V1,20/8/2020,,,Critique,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Base de donnée,11/8/2020,,,Négligeable,Capture.PNG (https://dl.airtable.com/.attachments/b55c9e5d1e1d0554945c66ef5ddfb073/b5ab2d1c/Capture.PNG),,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Association,CCAS de Bruges,,Plate-forme Web V1,10/8/2020,"""147-ETQ pro, je peux indiquer les conditions d'accès d'une structures - ETAPE 2""",,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,23/7/2020,157-Horaires temporaires,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,23/7/2020,,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,20/7/2020,"148-ETQ Pro je peux définir le public accueilli dans les structures,150-Affichage des conditions",,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Association,Créer avec la langue française,,Plate-forme Web V1,20/7/2020,,,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,7/7/2020,,,Négligeable,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Partenaire institutionnel,,,App,15/6/2020,,,Critique,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,8/6/2020,,,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,4/6/2020,"""143-ETQ pro, je peux demander la suppression d'une fiche à Soliguide""",,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,4/6/2020,"""143-ETQ pro, je peux demander la suppression d'une fiche à Soliguide""",,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Blanche ADOU-NIANGORAN,,,Equipe Soliguide,,,Plate-forme Web V1,4/6/2020,,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,4/6/2020,178-Étendre l'édition groupé,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,Alice El Khoury Atieh,,,Equipe Soliguide,,,Plate-forme Web V1,4/6/2020,217-Popup téléchargement mobile,,Négligeable,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,4/6/2020,,,Majeur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,132-Améliorer la visibilité des filtres ,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,157-Horaires temporaires,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,158-Développer une application mobile encapsulée,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,"""145-[Versionning] ETQ Système, j'enregistre et j'affiche l'historique des modifications de fiche"",317-Fil d'actualité : général",,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,"140-Inviter d'autres utilisateurs,""145-[Versionning] ETQ Système, j'enregistre et j'affiche l'historique des modifications de fiche""",,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,174-Ajouter des contacts liés à un lieu,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,153-Ouvertures récurrentes non hebdomadaires,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,"""145-[Versionning] ETQ Système, j'enregistre et j'affiche l'historique des modifications de fiche"",317-Fil d'actualité : général",,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,"""147-ETQ pro, je peux indiquer les conditions d'accès d'une structures - ETAPE 2""",,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,133-Géolocaliser automatiquement les utilisateurs,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,156-ouverture 24h/24,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,,,,,,,,,,,,Traité,,,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,,Plate-forme Web V1,,148-ETQ Pro je peux définir le public accueilli dans les structures,,Mineur,,,,Traité,,,,,,,4/11/2021 12:07pm,,
