Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
Mouvement Impact France ,Mugdho MOHIBULLAH,,"Solinum,Experts,Co-construction,Opérationnel",,Réseau entrepreneurs ,https://impactfrance.eco/,,,,,,,,23/8/2021
Mutualité Française d'Ile de France,,,Soliguide,,Valeurs mutualistes,www.iledefrance.mutualite.fr,Object'if Solidarité,,,,,,,1/9/2020
Mutuelle Saint Christophe,,,"Financeur,Communication",,,,Trophees de l’engagement,,,,,,,5/3/2020
Nightline France,Alice Myhre,CR  Alice Myhre Nightline France 2021-03-22T17:33:17.000Z,"Soliguide,Communication",,Soliguide,https://www.nightline.fr,,,,,,,,24/2/2021
Nuit de la solidarité,,"""CR  Damiano, giovanangeli, Koch Nuit de la solidarité 2021-05-11T14:18:15.000Z""",Co-construction,,,https://www.apur.org/fr/nos-travaux/personnes-situation-rue-paris-nuit-30-31-janvier-2020,,,,,Paris,,,11/5/2021
OFII,"Marie BROUQUET,Marion ADMENT","""CR  Marie BROUQUET, Marion ADMENT OFII 2021-05-24T16:08:46.000Z"",CR   OFII 2021-07-20T09:18:49.000Z","Soliguide,Merci pour l'invit'",,Accueil des demandeurs d'asile et des réfugiés sur le sol français,https://www.ofii.fr/,,,CR sensi OFII 94/91 18/05/2021 dans AT Diffusion,,Seine-Saint-Denis,,,24/5/2021
OFII 94/91,,,"Soliguide,Opérationnel",En cours (contact/actions régulières),,,,,,OFII,,,Val-de-Marne,14/1/2022
OMNES Education,Florence Haxel,CR  Florence Haxel OMNES Education 2022-01-04T09:11:14.000Z,,,,,,,,,,,,4/1/2022
Osilience,Stéphane PUNEL ,CR  Stéphane PUNEL  Osilience 2021-09-27T13:59:25.000Z,"Experts,Merci pour l'invit'",,"Formation et conseille violences conjugales, sexuelles et sexistes",https://www.osilience.com/,,,,,,,,27/9/2021
Ouaÿ,,"""CR  Marine SANVELIAN, Thomas PARISOT Ouaÿ 2021-01-28T09:20:55.000Z""",Soliguide,,,https://www.ouay.org/,,,,,,,,28/1/2021
Paris Est Marne & Bois (EPT 94),,,"Soliguide,Co-construction",Contacté/ en négociation,,,,,CR RDV ici : https://airtable.com/appsLJJwfdueN9xqD/tbl4TlB0hec1uTyzI/viwxDbTJkDzt00tZP/recTCUKmSqqMwNVcz?blocks=hide,,,,Val-de-Marne,24/11/2021
Partenaire démo mpli,Travis sossial,,Orientation MPLI,A relancer,,,,,Partenaire de test pour pro.mercipourlinvit,,,Hauts-de-Seine,,9/11/2021
Passerelle ,Camille Henrion ,,"Orientation MPLI,Merci pour l'invit'",Terminé,Emploi et logement ,https://www.bordeauxmecenes.org/projets-soutenus/passerelle/,,,,,,Gironde,,4/11/2021
PIC,,,Financeur,En cours (contact/actions régulières),,https://travail-emploi.gouv.fr/le-ministere-en-action/pic/,"PIC 94 - 2020,PIC 94 - 2021,PIC 94 - 2022,PIC 94 - 2023",,,,,,,3/2/2021
PIE Rosny-sous-bois,THIMON Lise-Marie,,Orientation MPLI,,Insertion,https://www.rosnysousbois.fr/solidarite/le-service-dinsertion-edmond-michelet/,,"9, rue Emile Auxerre Rosny-sous-bois",,,,Seine-Saint-Denis,,2/11/2021
Plaine Commune,Marianne Villain,,Soliguide,,,,,,,,,,,22/6/2021
Plateau urbain,Gabrielle DUBOIS,,Locaux,En cours (contact/actions régulières),,,,,,,,,,22/6/2021
Plie Cannes Pays de Lerins,Alexandre Appolonia,CR   Plie Cannes Pays de Lerins 2022-01-25T14:28:40.000Z,"Soliguide,Opérationnel",,,https://ressources.pliecannespaysdelerins.com/,,,,,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,25/1/2022
Pôle Emploi,"SEMDANI Najat,Dominique Largaud,Caroline Dias,Rodolphe de Soras,Julien THIBAULT,Sébastien Bossis,Laurène Akoun,Carine Villemont","CR  SEMDANI Najat Pôle Emploi 2021-01-14T14:04:36.000Z,CR  Dominique Largaud Pôle Emploi 2021-03-30T15:27:24.000Z,""CR  Caroline Dias, Rodolphe de Soras Pôle Emploi 2021-07-20T16:19:52.000Z"",""CR  Julien THIBAULT, Sébastien Bossis Pôle Emploi 2021-09-22T13:39:44.000Z"",CR  Laurène Akoun Pôle Emploi 2021-11-22T15:49:50.000Z,CR  Carine Villemont Pôle Emploi 2022-01-04T14:11:30.000Z",Soliguide,,,,,,,,"Yvelines,Paris,Val-d'Oise,Val-de-Marne,Seine-Saint-Denis",,,20/1/2021
Pôle Emploi 63,Martine Ley,"""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z""",Soliguide,En cours (contact/actions régulières),,,,,,,Puy-de-Dôme,Puy-de-Dôme,,29/10/2021
Pôle emploi 67,Laurent Foltin,CR  Laurent Foltin Pôle emploi 67 2022-02-01T17:12:22.000Z,Soliguide,Contacté/ en négociation,,https://www.pole-emploi.fr/region/grand-est/#,,,,Pôle Emploi,Bas-Rhin,Bas-Rhin,Bas-Rhin,1/2/2022
Pôle Emploi 78 Versailles,,,Soliguide,,,,,,,,,,,20/1/2021
Pole Emploi 92,Gael Lhermite,,Soliguide,Souhaité,,,,,"01.02.22 (sr) Mme ROGERS me transmet le contact de Mr Lhermite par email ce jour, je la remercie et contacte Mr Lhermite, lui présente le Soliguide et lui propose un échange en visio. l'email ne s'envoie pas, message d'erreur à chaque fois, je relance Mme ROGERS et lui demande si cest bien la bonne adresse. elle se renseigne et m'envoie l'adresse email corrigée, que je màj sur AT (il y avait un T en trop dans le nom de famille), je renvoie le mail à Mr Lhermite de proposition de rencontre et présentation brève du Soliguide. je me fais un rappel à mi-février si pas de nouvelles.",,,Hauts-de-Seine,Hauts-de-Seine,1/2/2022
Pôle Emploi Cantal,Sébastien FAURE-ROUQUIE,,,,,,,,,,,,,29/7/2021
Pôle Emploi Morbihan,Laurence Renard ,CR  Laurence Renard  Pôle Emploi Morbihan 2022-01-06T15:44:14.000Z,,Souhaité,,,,,,,Morbihan,Morbihan,,20/12/2021
Pôle Emploi Saint Brieuc (22),Danièle Maillot,,,,Emploi,,,,,,,Côtes-d'Armor,,17/11/2021
Pôle Ressources ville et développement social,,"""CR   Roissy Pays de France, Pôle Ressources ville et développement social 2021-11-17T16:55:19.000Z""",Soliguide,,Cartographie et Politique de la ville,https://poleressources95.org/,,,,,Val-d'Oise,,,17/2/2021
Préfecture centre val de loire,,CR  Simon Karleskind Préfecture centre val de loire 2021-05-21T11:12:06.000Z,Financeur,,,,,,,,Indre,,,21/5/2021
Préfecture Charente,Maxime Barreau,,,,,,,,,,,Charente,,17/1/2022
Préfecture Côte-d'Or,Samuel Michaut,,"Solinum,Soliguide,Experts,Financeur,Co-construction",Contacté/ en négociation,,,,"Cité Administrative Dampierre, 6 rue Chancelier de l'Hospital, BP 15381 - 21053 Dijon Cedex",,,,Côte-d'Or,Côte-d'Or,25/1/2022
Préfecture de Corse,Didier MEDORI,CR  Didier MEDORI Préfecture de Corse 2021-10-22T15:54:12.000Z,,,,,,,,,"Corse-du-Sud,Haute-Corse",,,22/10/2021
Préfecture de la région Occitanie,Eric Pelisson,CR  Eric Pelisson Préfecture de la région Occitanie 2021-07-31T15:08:53.000Z,,,,,,,,,Hérault,Hérault,,31/7/2021
préfecture de la réunion,Camille Dagorne,"""CR  Lali Raluca Ouriaghli, Camille Dagorne préfecture de la réunion, FAS (fédération des acteurs de la solidarité) océan indien 2021-09-02T12:47:54.000Z""",,,,,,,,,La Réunion,La Réunion,,2/9/2021
Préfecture de mayotte,Antoine Schwartz,CR  Antoine Schwartz Préfecture de mayotte 2021-01-28T14:45:02.000Z,"Soliguide,Financeur",,,,,,,,Mayotte,,,28/1/2021
Préfecture de région Normandie,Christian Forterre,,Soliguide,,,,,,,,,,,22/6/2021
Préfecture de région Nouvelle-Aquitaine,Isabelle Grimault,CR  Isabelle Grimault Préfecture de région Nouvelle-Aquitaine 2022-01-14T17:01:30.000Z,"Soliguide,Merci pour l'invit'",,,,,,,,"Gironde,Charente,Dordogne,Haute-Vienne",,,17/11/2021
Préfecture des Bouches-du-rhône (13),,"CR  Elsa Ferri-Battini Préfecture des Bouches-du-rhône (13) 2021-05-12T09:50:43.000Z,""CR  Pierre-Olivier Dolino, Emilia Sinsoilliez, Elsa Ferri-Battini, Axelle Cuny, BLENY Louise Action contre la faim France, Banque alimentaire 13, Préfecture des Bouches-du-rhône (13), Mairie du 3ème arrondissement de marseille 2021-06-10T16:52:39.000Z""","Soliguide,Financeur",,,,,,,,"Bouches-du-Rhône,Bouches-du-Rhône",,,12/5/2021
Préfecture du Val de Marne,,,"Soliguide,Co-construction,Communication",En cours (contact/actions régulières),,https://www.val-de-marne.gouv.fr/,,,,,,,Val-de-Marne,19/10/2021
Préfecture Grand Est,Anoutchka CHABEAU ,"""CR  Brigitte LUX , Anoutchka CHABEAU , Marion REYNAUD, Montserrat AGUAYO DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est, Préfecture Grand Est 2021-10-12T10:16:40.000Z"",""CR  Anoutchka CHABEAU , Montserrat AGUAYO, Julien DHOMONT Préfecture Grand Est, DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est 2021-11-22T15:32:11.000Z""",Soliguide,,,https://www.prefectures-regions.gouv.fr/grand-est,,"5 Pl. de la République, 67073 Strasbourg",,,"Haut-Rhin,Bas-Rhin,Bas-Rhin",,,12/10/2021
Préfecture Hauts-de-Seine 92,"Peggy Rogers,Sandrine Noël,Helena Jenneau,Chloé Genoux",,,Contacté/ en négociation,,,,,"10/11/21 (sr) Sandrine Noël m'informe que sa collaboratrice Mme Rogers viendra au COPIL du 9/12/21, je les remercie et informe Mme Rogers que je lui transmettrai le lien dans les prochaines semaines+ note sur mon suivi orga qu'elle vient bien
13.01.22 (sr) email à Mme Rogers, voeux  2022 + dashboard, demande de mise en relation avec la CAF et PE + les responsables des France Service, la relancer début février si pas de nouvelles, rappel fait
17.01.22 (sr) Email de Mme Jenneau, qui me contacte suite à ma demande auprès de Mme Rogers. elle me demande quelles coordonnées France Service je veux, grand public ou bien les référents, je la remercie pour son message et lui indique que j'aimerais avoir les deux si possible. grand public pour renseigner au mieux les infos sur les France Services sur Soliguide et les référents pour pouvoir les contacter, leur proposer de référencer leurs antennes, les sensibiliser et les former sur Soliguide. à suivre
19.01.22 (sr) Mme ROGERS me répond, me souhaite également une bonne année, elle m'indique qu'elle a partagé à Mme Jenneau mon besoin des coordonnées France Service, et qu'elle revient vers moi concernant la CAF et Pole Emploi. Je lui répond deux jours plus tard, la remercie, lui indique que Mme Jenneau m'a bien transmis les coordonnées des référents FS, et que je les ai tous contactés cette semaine. Je lui indique que j'ai également eu des nouvelles de Mme Mathot de la caf, et la remercie si c'est grâce à elle, et que je la laisse revenir vers moi concernant Pôle Emploi. Elle me répond qques jours plus tard et me dit qu'elle revient vers moi concernant PE, et me transmet le contact de Marie Vignes de la CAF au cas où j'en aurai besoin. 
01.02.22 (sr) Mme ROGERS me transmet le contact de Mr Lhermite par email ce jour, je la remercie et contacte Mr Lhermite, lui présente le Soliguide et lui propose un échange en visio. l'email ne s'envoie pas, message d'erreur à chaque fois, je relance Mme ROGERS et lui demande si cest bien la bonne adresse. Mme Rogers se renseigne et me donne la bonne adresse, que je màj sur AT, je remercie Mme Rogers, je renvoie le message proposition de rencontre et présentation du Soliguide à Mr Lhermite. je me fais un rappel à mi-février si pas de nouvelles. rappel fait. ",,,"Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine",Hauts-de-Seine,7/1/2022
Préfecture Ile-de-France,"Secrétariat DRJSCS Ile de France,Cécile Tagliana","""CR  Céline Lemma, Cécile Tagliana DRIHL, Préfecture Ile-de-France 2021-02-09T16:45:30.000Z"",""CR  Anaïs Clergeau, Marianne Blehaut ANSA, CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie), Préfecture Ile-de-France 2021-07-23T11:41:44.000Z"",""CR  Marianne Blehaut Préfecture Ile-de-France, ANSA, CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie) 2021-10-14T08:30:47.000Z"",""CR  Caroline Nigon, Alain Jezequel DRIHL, Préfecture Ile-de-France, Association Revivre 2021-10-20T14:34:31.000Z""",Financeur,,,https://www.prefectures-regions.gouv.fr/ile-de-france,"Préfecture de l'Ile-de-France 2020,FDVA - fonctionnement et innovation 2022",,,,Val-d'Oise,,,3/2/2021
Préfecture région Auvergne Rhône Alpes,"Raphaele Hugot,Virginie Sanz,Nathalie Gay,Fabienne LEFEVRE-WEISHARD ,Cécilie Cristia-Leroy,Fabienne LEFEVRE-WEISHARD","""CR  Cécilie Cristia-Leroy, Pascale Blanchetière Préfecture région Auvergne Rhône Alpes, FAS Auvergne-rhône-alpes 2021-10-14T15:25:16.000Z""",Soliguide,,,,,,,,"Puy-de-Dôme,Drôme,Haute-Savoie",,,22/6/2021
Préfecture région Bourgogne Franche Comté,"Maurice Tubul,Mélanie Marchand,Léa Rita de Carvalho",CR  Léa Rita de Carvalho Préfecture région Bourgogne Franche Comté 2021-09-17T10:40:08.000Z,Soliguide,,,,,,,,Côte-d'Or,,,22/6/2021
Préfecture région Bretagne,"Ludovic Magnier,Vincent Sevear",,Soliguide,,,,,,,,,,,22/6/2021
Préfecture région Centre Val de Loire,Maitena Viarouge,,Soliguide,,,,,,,,,,,22/6/2021
Préfecture région Nouvelle Aquitaine,"Anaïs Sebire,Isabelle Grimault",CR  Isabelle Grimault Préfecture région Nouvelle Aquitaine 2021-11-17T09:37:04.000Z,"Soliguide,Financeur,Merci pour l'invit'",Souhaité,,,Crédit Lutte contre la pauvreté 2021 - Nouvelle Aquitaine,,,,Gironde,Gironde,,22/6/2021
Préfecture région Pays de la Loire,,,Financeur,,,"http://pays-de-la-loire.drdjscs.gouv.fr/spip.php?article931#:~:text=La%20strat%C3%A9gie%20nationale%20de%20pr%C3%A9vention,'accompagnement%20vers%20l'emploi.",Crédits régionaux de la stratégie pauvreté - Pays de la Loire ,,,,,,,3/2/2021
Préfecture région Provence Alpes Côte d'Azur,"Joëlle Chenet,Léopold Carbonnel,Cécile DEMAI",,Soliguide,,,,,,,,,,,22/6/2021
Question Confiance,Isabelle HERIGAULT,"CR  Isabelle HERIGAULT Question Confiance 2021-06-15T10:00:35.000Z,CR  Isabelle HERIGAULT Question Confiance 2021-06-28T10:30:33.000Z",Merci pour l'invit',En cours (contact/actions régulières),confiance en soi pour les femmes,https://questionconfiance544102592.wordpress.com/,,,,,"Loire-Atlantique,Loire-Atlantique",,,15/6/2021
RAIL,Rose-Marie FRANCOIS,CR  Rose-Marie FRANCOIS RAIL 2021-06-09T16:27:18.000Z,"Merci pour l'invit',Soliguide,Opérationnel",Contacté/ en négociation,Réseau d'hébergement citoyen,https://www.rail-asso.org/,,,,,Nord,,,9/6/2021
Recherche & Thérapies,Marie Labarrière,CR  Marie Labarrière Recherche & Thérapies 2021-10-19T11:51:47.000Z,Solinum,,Formation à l'approche systémique,https://recherchetherapies.wixsite.com/website/information-et-sensibilisation,,,"Jeanne a rencontré Recherche & Thérapies lors d'une sensi, Marie nous a proposé une formation gratuite.",,,,,19/10/2021
Reconnect,"Vincent Dallongeville,Valentine de Dreuille,Coralie HUGEL,Corentin Le Denmat,Thomas Leroux ,Tarik Lakel,Laura Fortier,Coralie Hugel,Paulin Bertin,Johanna Malanda","CR  Valentine de Dreuille Reconnect 2021-02-16T15:19:39.000Z,CR  Corentin Le Denmat Reconnect 2021-10-04T09:05:36.000Z","Soliguide,Communication",,,,,,,,Val-de-Marne,,,21/1/2021
Reconnect (76),Thomas Leroux,CR  Thomas Leroux  Reconnect (76) 2021-10-27T07:55:52.000Z,Soliguide,,Insertion numérique,https://www.reconnect.fr/,,,"Pas d'adresse, Reconnect est actuellement aussi à la recherche de locaux en Seine-Maritime.",,Seine-Maritime,,,27/10/2021
Reconnect PACA,Johanna MALANDA,,Soliguide,Contacté/ en négociation,Numérique,,,,,Reconnect,,Bouches-du-Rhône,Bouches-du-Rhône,14/12/2021
Réfugiés bienvenue,"Paul Wat,Anjali CLAES","""CR  Anjali CLAES, Paul Wat Réfugiés bienvenue 2021-11-24T17:26:09.000Z""",Merci pour l'invit',Souhaité,Réseau d'hébergement citoyen,https://refugiesbienvenue.com/,,,,,,,,24/11/2021
Région Grand Est,Karine Cathelain,CR  Karine Cathelain Région Grand Est 2021-05-07T12:12:10.000Z,Soliguide,,,https://www.grandest.fr ,,,,,"Bas-Rhin,Haut-Rhin,Ardennes,Aube,Haute-Marne,Marne,Meurthe-et-Moselle,Meuse,Moselle,Vosges",,,7/5/2021
Région hauts de France,,,Financeur,,,,Région hauts de france,,,,,,,5/3/2020
Région Ile de France,"Régine BOUILLET,Laure BAEZA,Anne-Claire TYSSANDIER ,Karine Lacour-Candiard ,Martine PERROT  ,Elodie LOUSSOUARN ","""CR  Laure BAEZA, Elodie LOUSSOUARN  Région Ile de France 2021-11-23T16:17:00.000Z""","Financeur,Soliguide",,,,"Aide régionale à l'investissement pour l'innovation sociale 2020,""Appel à projet FDVA Ile de
  france"",Ile de France Covid,Subvention IDF investissement 2018,Pm'up",,,,,,,18/2/2020
Région Nouvelle Aquitaine,"Brigitte AUGER,Mathieu Joerger,Béatrice Montamat-Durruty,Véronique Branger,Ondine LAPOYADE-DESCHAMPS","CR  Béatrice Montamat-Durruty Région Nouvelle Aquitaine 2021-06-04T13:42:25.000Z,""CR  Béatrice Montamat-Durruty, Véronique Branger, Ondine LAPOYADE-DESCHAMPS Région Nouvelle Aquitaine 2021-10-29T14:24:21.000Z""",Financeur,En cours (contact/actions régulières),,,"AMI développement Nouvelle Aquitaine,CREES NA - Appel à projet exceptionnel suite aux incidences de la crise sanitaire sur la prévention et lutte contre la pauvreté,Région nouvelle aquitaine 2016",,,,"Gironde,Gironde","Gironde,Gironde",,22/6/2020
Région Pays de la Loire,"""Direction culture, sport, association"",Pierre Dematteo,Magali Brichet","""CR  Magali Brichet, Pierre Dematteo Région Pays de la Loire 2022-01-13T16:14:50.000Z""",Financeur,,,,"Pays de la Loire Egalité et solidarité,""Aide aux projets de lutte contre la grande précarité, contre l’isolement et les violences faites aux femmes"",Fonds « Lutte contre la grande précarité »",,,,"Loire-Atlantique,Sarthe",,,5/3/2020
Règles élémentaires,,,"Merci pour l'invit',Matériel MPLI",,Lutte contre la précarité menstruelle,https://www.regleselementaires.com/,,,,,,,,3/2/2021
Repairs 44,Alissa Denissova,"CR  Alissa Denissova Repairs 44 2021-04-29T09:55:45.000Z,CR  Alissa Denissova Repairs 44 2021-11-16T13:51:10.000Z,CR  Alissa Denissova Repairs 44 2022-01-28T16:37:26.000Z","Merci pour l'invit',Opérationnel,Orientation MPLI",En cours (contact/actions régulières),MPLI,https://www.facebook.com/Repairs44/,,,,,"Loire-Atlantique,Loire-Atlantique,Loire-Atlantique",Loire-Atlantique,,29/4/2021
Réseau Alpha,Charlène De Barros,CR  Charlène De Barros Réseau Alpha 2021-10-27T14:33:07.000Z,Soliguide,,Cartographie des cours de français en Île-de-France,https://www.reseau-alpha.org/,,,,,,,,27/10/2021
Réseau RevCo Violences Conjugales,,,Merci pour l'invit',,,,,,,,,,,17/3/2021
Réseau RevCo Violences Conjugales ,,,Soliguide,,,,,,,,,,,20/1/2021
Restos du coeur 78,Sandrine Vincent,,Soliguide,,,,,,,,,,,20/1/2021
Restos du coeur 92,Jacques Latil,CR  Jacques Latil Restos du coeur 92 2021-01-20T17:15:22.000Z,Soliguide,Contacté/ en négociation,,,,,"12/11/21 (sr) email à Jacques Latil, envoi dashboard màj été",,Hauts-de-Seine,Hauts-de-Seine,,14/5/2021
Restos du coeur Bourgogne Franche Comté,Jean Devaux,CR  Jean Devaux Restos du coeur Bourgogne Franche Comté 2021-12-09T17:43:52.000Z,,Contacté/ en négociation,,,,,,Restos du coeur national,Côte-d'Or,Côte-d'Or,,9/12/2021
Restos du coeur national,"Myriam Le Bris,Julie Dilouya","""CR  Myriam Le Bris, Julie Dilouya Restos du coeur national 2021-07-13T08:59:45.000Z"",""CR  Myriam Le Bris, Julie Dilouya Restos du coeur national 2021-10-05T09:51:30.000Z"",""CR  Myriam Le Bris, Julie Dilouya Restos du coeur national 2021-12-22T13:33:54.000Z""",,,,,,,,,,,,13/7/2021
Restos du coeur Occitanie,,,Soliguide,,Association,,,,,,,,,27/10/2021
Rhonalpia,,,Financeur,,,https://www.ronalpia.fr/,Ronalpia,,,,,,,3/2/2021
RIAE 94,,,"Soliguide,Communication",En cours (contact/actions régulières),,,,,,,,,Val-de-Marne,14/1/2022
Ring capital,"Nicolas Celier,Daphné Gurs","""CR  Nicolas Celier, Daphné Gurs Ring capital 2021-10-06T10:32:43.000Z""",Financeur,,fond d'investissement,https://www.ringcp.com/,,,,,,,,6/10/2021
Roissy Pays de France,"Anne-Sophie Ramard,Marine Corinthe","""CR   Roissy Pays de France, Pôle Ressources ville et développement social 2021-11-17T16:55:19.000Z""",Soliguide,,Cartographie et étude sur l'accès à l'alimentation,https://www.roissypaysdefrance.fr/,Politique de la Ville - Roissy Pays de France,,,,Val-d'Oise,,,17/2/2021
Ronalpia,"Romain Truchi,Amandine Mollard","""CR  Romain Truchi, Amandine Mollard Ronalpia 2021-07-22T09:03:18.000Z"",CR  Amandine Mollard Ronalpia 2021-08-26T16:05:24.000Z",,,,,,,,,"Drôme,Ardèche,Rhône,Puy-de-Dôme,Drôme",Drôme,,22/7/2021
Samu social 115,"Yoanna Andriamasina,Sylvie HAUTCOEUR ",,Soliguide,,,https://www.samusocial.paris/,,,,,,,,3/2/2021
Samu Social Croix Rouge de Meaux,Martine MUGNIER,CR  Martine MUGNIER Samu Social Croix Rouge de Meaux 2022-01-28T15:00:08.000Z,,,,,,,,,Seine-et-Marne,Seine-et-Marne,,28/1/2022
Samu Social de Paris,"Hélène Goulhot,Philippe Baudassé ","""CR  Hélène Goulhot, Philippe Baudassé  Samu Social de Paris 2021-10-27T15:06:18.000Z""",Soliguide,En cours (contact/actions régulières),SIAO,https://www.samusocial.paris/,,,,,Paris,,,27/10/2021
SARA LOGISOL (115),Marc ALLIO ,,Soliguide,,,,,"24 Rue Albert Marquet, 13013 Marseille",,,,,,25/8/2021
SAVS Beauvois Paris 16,Mandion Claire,,Orientation MPLI,,Accompagnement à la vie sociale des personnes handicapées,http://www.vivre-asso.com/savsgb_presentation.aspx,,18 rue de Varize 75016 Paris,,,,Paris,,2/11/2021
SCHNEIDER,Patrice Blanchard,CR  Patrice Blanchard SCHNEIDER 2022-01-13T13:09:49.000Z,Mécénat/bénévolat,,,,,,<patrice.blanchard@se.com>,,,,,22/6/2021
Schwarzkopf,,,"Merci pour l'invit',Matériel MPLI",,Hygiène,https://www.schwarzkopf-professional.fr/fr/home.html,,,,,,,,3/2/2021
Se loger,Severine Bernelin,,Financeur,,,,,,,,,,,23/6/2021
Secours Catholique (national),"Emmanuelle Hérin,Didier Duriez",,"Soliguide,Opérationnel",,,,,,,,,Ille-et-Vilaine,,21/1/2021
Secours Catholique 35,,,Soliguide,,,https://illeetvilaine.secours-catholique.org,,10 rue Louis Guilloux - CS 61139  35011 RENNES CEDEX ,,,,,,5/10/2021
Secours Catholique 63,"Marie-Rose Gremeau ,Guy Xicluna,Aurélien Le Thuaut","""CR  Loraine Henry, Marie-Rose Gremeau , Gilles Loubier , Marie Thonier , Pascale Blanchetière, Flore Chalayer Collectif Partages et Projets , Secours Catholique 63, ANEF 63 / SIAO , FAS Auvergne-rhône-alpes, URIOPSS Auvergne-Rhône-Alpes 2021-10-13T17:03:08.000Z"",""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z""",Soliguide,En cours (contact/actions régulières),,,,,,,"Puy-de-Dôme,Puy-de-Dôme","Puy-de-Dôme,Puy-de-Dôme",,13/10/2021
Secours catholique 76,"Christelle Ballandpoirier,Sarah Guinoubi",CR  Christelle Ballandpoirier Secours catholique 76 2021-11-18T16:41:27.000Z,"Soliguide,Solinum",,Action sociale,,,"41 route de Neufchâtel, 76000, Rouen",,,Seine-Maritime,"Seine-Maritime,Seine-Maritime",,18/11/2021
Secours Catholique 92,Yelena YARMALOYAN,,Soliguide,En cours (contact/actions régulières),,,,,,,,Hauts-de-Seine,,22/6/2021
Secours Catholique IDF,Sophie QUESNEL,CR  Sophie QUESNEL Secours Catholique IDF 2021-11-24T16:32:35.000Z,"Solinum,Soliguide,Communication,Opérationnel,Co-construction",,,,,,,,,,,9/11/2021
Secours populaire 78,Lenica Vautier,,Soliguide,,,,,,,,,,,22/6/2021
Secours populaire 92,Bénédicte Di Bona,,Soliguide,En cours (contact/actions régulières),,,,,,,,Hauts-de-Seine,,22/6/2021
Secours populaire français / fédération de Côte-d'Or,,CR   Secours populaire français / fédération de Côte-d'Or 2022-01-20T11:14:59.000Z,"Solinum,Soliguide,Opérationnel,Co-construction",En cours (contact/actions régulières),Lutte contre l'exclusion,https://www.spf21.org/,,15 rue de la Brot - ZAE Cap Nord - 21000 Dijon,,,Côte-d'Or,,Côte-d'Or,20/1/2022
Secours Populaire Île-de-France,Alexia Boisramé,CR  Alexia Boisramé Secours Populaire Île-de-France 2022-01-19T15:22:09.000Z,"Solinum,Soliguide",Souhaité,Association,https://www.secourspopulaire.fr/idf/,,,,,,,,19/1/2022
SEIF - Driving Impact Innovation,Maria Ljung,,"Financeur,Soliguide",,entrepreneurs who develop or make innovative use of technologies to tackle social and/or environmental challenges and contribute to the UN Sustainable Development Goals (SDGs).,https://seif.org/en/,SEIF Awards Tech for Impact 2020,,,,,,,3/2/2020
Service d 'Action Sociale Montfort l'Amaury (CCAS),POIRIER Viviane,,Orientation MPLI,,,"https://www.montfortlamaury.fr/vivre-a-montfort/action-sociale/secteur-daction-sociale/#:~:text=Le%20secteur%20d%C3%A9partemental%20d%E2%80%99Action%20Sociale%2C%20situ%C3%A9%20%C3%A0%20Montfort,en%20difficult%C3%A9%2C%20personnes%20%C3%A2g%C3%A9es%20et%20personnes%20handicap%C3%A9es%20",,17 Place Robert Brault 78490 Montfort l’Amaury,,,,Yvelines,,2/11/2021
SGAR Bretagne,"Kounowski Julien, Laurent Alaton","""CR  Kounowski Julien, Camille Barbier-Bouvet, Vincent Sevear,  Laurent Alaton SGAR Bretagne 2022-01-27T10:03:42.000Z""",,,,,,,,,"Ille-et-Vilaine,Morbihan,Côtes-d'Armor,Finistère",,"Ille-et-Vilaine,Côtes-d'Armor,Finistère,Morbihan",27/1/2022
